Truck_id,Route_id,Origin,Destination,Completion_Time_alone,Completion_Time,Congestion_ratio,TravelTime_by_Distance,PickupSta_AT,DropSta_AT,,,C_max_prev,C_max_now,C_max,Congestion_ratio_AVG_prev,Congestion_ratio_AVG_now,Congestion_ratio_AVG
Truck-9,Route-9,(675.0 0.0 105.5),(375.0 0.0 200.0),344.8487,348.184,0.07436848,2.834352,7.192,35.928,,,592.952,465.032,592.952,0.2774001,0.4015937,0.3394969
Truck-1,Route-1,(675.0 0.0 155.5),(125.0 0.0 200.0),359.1861,363.928,0.08011925,2.55712,7.2,51.664
Truck-13,Route-13,(675.0 0.0 55.5),(375.0 0.0 200.0),348.433,365.248,0.3471799,3.434104,7.192,52.992
Truck-7,Route-7,(675.0 0.0 205.5),(125.0 0.0 50.0),366.3548,372.992,0.1000265,2.516966,7.192,60.728
Truck-10,Route-10,(175.0 0.0 194.5),(375.0 0.0 0.0),362.7704,373.52,0.1712522,2.722963,16.688,51.888
Truck-2,Route-2,(425.0 0.0 194.5),(125.0 0.0 150.0),369.9391,375.392,0.07796611,2.432,16.688,53.768
Truck-6,Route-6,(425.0 0.0 55.5),(625.0 0.0 200.0),366.3548,378.056,0.1763435,2.691586,7.192,65.792
Truck-8,Route-8,(425.0 0.0 5.5),(125.0 0.0 200.0),352.0174,379.12,0.5210304,3.767619,7.192,66.856
Truck-0,Route-0,(425.0 0.0 155.5),(125.0 0.0 100.0),366.3548,380.72,0.2164914,2.783448,30.416,45.256
Truck-12,Route-12,(175.0 0.0 5.5),(625.0 0.0 200.0),387.8609,389.192,0.01514992,2.175414,7.192,77.008
Truck-14,Route-14,(425.0 0.0 105.5),(625.0 0.0 0.0),377.1078,395.232,0.2350493,2.720914,33.8,44.32
Truck-11,Route-11,(175.0 0.0 155.5),(375.0 0.0 100.0),384.2766,396.208,0.1415751,2.466872,29.944,61.376
Truck-4,Route-4,(175.0 0.0 105.5),(375.0 0.0 150.0),384.2766,396.904,0.1498334,2.484718,34.936,54.048
Truck-3,Route-3,(675.0 0.0 -5.5),(125.0 0.0 50.0),391.4453,399.24,0.0852394,2.307907,36.288,57.888
Truck-101,Route-101,(425.0 0.0 5.5),(375.0 0.0 200.0),352.0174,356.904,0.09394223,2.709714,7.448,44.632
Truck-108,Route-108,(175.0 0.0 5.5),(375.0 0.0 200.0),352.0174,357.768,0.1105523,2.750857,7.44,45.44
Truck-107,Route-107,(425.0 0.0 105.5),(625.0 0.0 200.0),362.7704,361.752,-0.01622424,2.287112,7.44,49.44
Truck-106,Route-106,(675.0 0.0 155.5),(125.0 0.0 150.0),362.7704,369.36,0.1049789,2.568888,32.096,32.448
Truck-114,Route-114,(675.0 0.0 -5.5),(125.0 0.0 200.0),380.6922,387.152,0.08005493,2.35546,53.688,28.504
Truck-105,Route-105,(175.0 0.0 155.5),(125.0 0.0 0.0),373.5235,388.28,0.200705,2.675152,31.296,43
Truck-103,Route-103,(175.0 0.0 105.5),(625.0 0.0 200.0),380.6922,390.728,0.1243713,2.452108,7.44,78.544
Truck-104,Route-104,(175.0 0.0 55.5),(625.0 0.0 200.0),384.2766,396.688,0.1472704,2.479179,7.44,84.376
Truck-113,Route-113,(675.0 0.0 105.5),(375.0 0.0 50.0),373.5235,396.688,0.3150629,2.929939,47.552,44.184
Truck-102,Route-102,(675.0 0.0 55.5),(625.0 0.0 200.0),420.1201,417.776,-0.01951427,1.996203,42.232,70.76
Truck-110,Route-110,(425.0 0.0 55.5),(375.0 0.0 100.0),409.367,422.184,0.1171924,2.305358,59.824,57.528
Truck-5,Route-5,(175.0 0.0 55.5),(625.0 0.0 150.0),405.7827,592.952,1.769377,5.744157,38.992,246.232
Truck-112,Route-112,(425.0 0.0 205.5),(625.0 0.0 150.0),359.1861,443.752,1.428815,5.750081,7.44,131.432
Truck-100,Route-100,(675.0 0.0 205.5),(625.0 0.0 0.0),352.0174,448.784,1.860276,7.084952,7.448,136.44
Truck-109,Route-109,(175.0 0.0 205.5),(625.0 0.0 100.0),380.6922,454.632,0.9163189,4.179243,7.44,142.28
Truck-111,Route-111,(425.0 0.0 155.5),(625.0 0.0 50.0),405.7827,465.032,0.5601047,3.235922,31.296,128.872
