Truck_id,Route_id,Origin,Destination,Completion_Time_alone,Completion_Time,Congestion_ratio,Path_length,TravelTime_by_Distance,CompletionTime_by_Distance,PickupSta_AT,DropSta_AT,Unnamed: 10,Unnamed: 11,C_max_prev,C_max_now,C_max,Congestion_ratio_AVG_prev,Congestion_ratio_AVG_now,Congestion_ratio_AVG
Truck-5,Route-5,(675.0 0.0 155.5),(625.0 0.0 200.0),341.2643,340.4,-0.02094592,15.0,2.693333333333332,22.69333,7.08,28.256,,,426.192,416.488,426.192,0.09592538,0.08982663,0.09244037
Truck-4,Route-4,(675.0 0.0 105.5),(625.0 0.0 200.0),344.8487,344.36,-0.01089615,17.0,2.609411764705883,20.25647,7.08,32.248,,,,,,,,
Truck-12,Route-12,(175.0 0.0 205.5),(125.0 0.0 100.0),344.8487,346.864,0.04493669,17.0,2.75670588235294,20.40376,7.08,34.768,,,,,,,,
Truck-6,Route-6,(675.0 0.0 205.5),(625.0 0.0 50.0),348.433,351.96,0.07282177,19.0,2.7347368421052622,18.52421,7.08,39.84,,,,,,,,
Truck-9,Route-9,(425.0 0.0 205.5),(625.0 0.0 0.0),352.0174,361.448,0.1812978,21.0,2.926095238095237,17.21181,7.08,49.344,,,,,,,,
Truck-11,Route-11,(175.0 0.0 155.5),(125.0 0.0 150.0),362.7704,364.944,0.03462752,27.0,2.405333333333334,13.51644,30.144,29.76,,,,,,,,
Truck-0,Route-0,(425.0 0.0 155.5),(375.0 0.0 100.0),366.3548,365.728,-0.009445742,29.0,2.26648275862069,12.61131,29.992,30.632,,,,,,,,
Truck-13,Route-13,(425.0 0.0 105.5),(125.0 0.0 150.0),366.3548,368.336,0.02985817,29.0,2.3564137931034486,12.70124,33.632,29.6,,,,,,,,
Truck-7,Route-7,(425.0 0.0 -5.5),(375.0 0.0 150.0),366.3548,380.448,0.2123922,29.0,2.7740689655172406,13.1189,41.448,33.928,,,,,,,,
Truck-14,Route-14,(675.0 0.0 55.5),(375.0 0.0 150.0),369.9391,385.264,0.2191176,31.0,2.750451612903226,12.42787,37.696,30.528,,,,,,,,
Truck-3,Route-3,(175.0 0.0 55.5),(125.0 0.0 0.0),380.6922,385.976,0.0654811,37.0,2.3236756756756756,10.43178,36.768,41.184,,,,,,,,
Truck-1,Route-1,(175.0 0.0 105.5),(125.0 0.0 50.0),373.5235,386.752,0.1799228,33.0,2.628848484848485,11.71976,34.4,35.28,,,,,,,,
Truck-8,Route-8,(675.0 0.0 -5.5),(125.0 0.0 100.0),387.8609,392.248,0.04993216,41.0,2.249951219512195,9.567024,35.672,51.52,,,,,,,,
Truck-2,Route-2,(425.0 0.0 55.5),(375.0 0.0 0.0),380.6922,396.576,0.1968442,37.0,2.6101621621621627,10.71827,37.552,50.952,,,,,,,,
