Truck_id,Route_id,Origin,Destination,Completion_Time_alone,Completion_Time,Congestion_ratio,Path_length,TravelTime_by_Distance,CompletionTime_by_Distance,PickupSta_AT,DropSta_AT,Unnamed: 10,Unnamed: 11,C_max_prev,C_max_now,C_max,Congestion_ratio_AVG_prev,Congestion_ratio_AVG_now,Congestion_ratio_AVG
Truck-2,Route-2,(175.0 0.0 194.5),(625.0 0.0 100.0),373.5235,373.432,-0.001243973,33.0,2.2252121212121216,11.31612,34.936,33.36,,,421.352,408.752,421.352,0.03678658,0.01974931,0.02826794
Truck-4,Route-4,(675.0 0.0 105.5),(375.0 0.0 200.0),369.9391,373.84,0.05577535,31.0,2.3819354838709668,12.05935,30.28,38.36,,,,,,,,
Truck-1,Route-1,(675.0 0.0 155.5),(625.0 0.0 0.0),373.5235,375.296,0.02410825,33.0,2.2816969696969696,11.37261,30.512,39.584,,,,,,,,
Truck-0,Route-0,(175.0 0.0 105.5),(125.0 0.0 0.0),377.1078,382.04,0.06396443,35.0,2.3440000000000007,10.91543,35.632,41.304,,,,,,,,
Truck-3,Route-3,(175.0 0.0 -5.5),(125.0 0.0 200.0),416.5357,421.352,0.04132883,57.0,2.1289824561403505,7.39214,57.888,58.328,,,,,,,,
Truck-104,Route-104,(425.0 0.0 205.5),(625.0 0.0 150.0),359.1861,359.888,0.0118598,25.0,2.395519999999999,14.39552,7.496,47.248,,,,,,,,
Truck-101,Route-101,(175.0 0.0 105.5),(375.0 0.0 200.0),362.7704,361.096,-0.02667511,27.0,2.262814814814815,13.37393,7.496,48.528,,,,,,,,
Truck-100,Route-100,(675.0 0.0 55.5),(625.0 0.0 200.0),373.5235,376.912,0.04608759,33.0,2.3306666666666658,11.42158,31.416,40.48,,,,,,,,
Truck-103,Route-103,(675.0 0.0 205.5),(375.0 0.0 100.0),398.614,398.944,0.003346865,47.0,2.1051914893617023,8.488171,38.32,52.408,,,,,,,,
Truck-102,Route-102,(425.0 0.0 5.5),(125.0 0.0 0.0),402.1983,408.752,0.06412739,49.0,2.2194285714285718,8.341878,62.176,41.504,,,,,,,,
