Truck_id,Route_id,Origin,Destination,Completion_Time_alone,Completion_Time,Congestion_ratio,Path_length,TravelTime_by_Distance,CompletionTime_by_Distance,PickupSta_AT,DropSta_AT,Unnamed: 10,Unnamed: 11,C_max_prev,C_max_now,C_max,Congestion_ratio_AVG_prev,Congestion_ratio_AVG_now,Congestion_ratio_AVG
Truck-6,Route-6,(425.0 0.0 194.5),(375.0 0.0 200.0),355.6017,355.552,-0.0008940935,23.0,2.415304347826088,15.45878,23.464,27.008,,,422.688,412.216,422.688,0.1241276,0.1359354,0.1312122
Truck-3,Route-3,(675.0 0.0 5.5),(375.0 0.0 200.0),352.0174,355.864,0.07394933,21.0,2.660190476190475,16.94591,6.896,43.896,,,,,,,,
Truck-0,Route-0,(175.0 0.0 194.5),(125.0 0.0 150.0),352.0174,360.736,0.1676099,21.0,2.8921904761904758,17.1779,16.4,39.272,,,,,,,,
Truck-5,Route-5,(675.0 0.0 155.5),(125.0 0.0 200.0),359.1861,364.936,0.09715021,25.0,2.5974399999999993,14.59744,6.896,52.976,,,,,,,,
Truck-7,Route-7,(675.0 0.0 205.5),(125.0 0.0 100.0),362.7704,373.008,0.1630956,27.0,2.7039999999999993,13.81511,6.896,61.056,,,,,,,,
Truck-2,Route-2,(675.0 0.0 105.5),(125.0 0.0 200.0),362.7704,375.608,0.2045165,27.0,2.8002962962962963,13.91141,6.896,63.608,,,,,,,,
Truck-9,Route-9,(675.0 0.0 55.5),(125.0 0.0 200.0),366.3548,380.96,0.2201082,29.0,2.7917241379310336,13.13655,6.896,68.984,,,,,,,,
Truck-8,Route-8,(175.0 0.0 55.5),(625.0 0.0 200.0),384.2766,385.84,0.01855138,39.0,2.2010256410256406,9.893333,6.896,73.88,,,,,,,,
Truck-1,Route-1,(175.0 0.0 105.5),(375.0 0.0 100.0),405.7827,406.432,0.006138558,51.0,2.086901960784314,7.969255,65.528,35.808,,,,,,,,
Truck-4,Route-4,(175.0 0.0 155.5),(375.0 0.0 50.0),395.0296,422.688,0.2910502,45.0,2.7264,9.393066,29.968,87.672,,,,,,,,
Truck-111,Route-111,(425.0 0.0 205.5),(125.0 0.0 50.0),348.433,351.656,0.06654535,19.0,2.7187368421052636,18.50821,7.008,39.592,,,,,,,,
Truck-104,Route-104,(675.0 0.0 5.5),(375.0 0.0 200.0),352.0174,355.176,0.06072262,21.0,2.627428571428571,16.91314,7.016,43.136,,,,,,,,
Truck-103,Route-103,(425.0 0.0 5.5),(625.0 0.0 200.0),352.0174,364.136,0.2329726,21.0,3.0540952380952393,17.33981,7.016,52.04,,,,,,,,
Truck-107,Route-107,(675.0 0.0 155.5),(125.0 0.0 200.0),359.1861,368.336,0.1545961,25.0,2.7334400000000003,14.73344,7.016,56.296,,,,,,,,
Truck-102,Route-102,(675.0 0.0 205.5),(125.0 0.0 0.0),369.9391,369.256,-0.009767145,31.0,2.2340645161290316,11.91148,7.016,57.184,,,,,,,,
Truck-106,Route-106,(425.0 0.0 105.5),(625.0 0.0 200.0),362.7704,373.176,0.165772,27.0,2.710222222222222,13.82133,7.016,61.136,,,,,,,,
Truck-101,Route-101,(675.0 0.0 55.5),(125.0 0.0 200.0),366.3548,373.88,0.1134092,29.0,2.5475862068965514,12.89241,7.016,61.944,,,,,,,,
Truck-109,Route-109,(175.0 0.0 205.5),(375.0 0.0 150.0),359.1861,374.544,0.2594858,25.0,2.9817599999999995,14.98176,7.016,62.48,,,,,,,,
Truck-100,Route-100,(425.0 0.0 55.5),(625.0 0.0 200.0),366.3548,378.2,0.1785139,29.0,2.6965517241379304,13.04138,7.016,66.144,,,,,,,,
Truck-113,Route-113,(175.0 0.0 -5.5),(125.0 0.0 100.0),369.9391,378.28,0.1192592,31.0,2.52516129032258,12.20258,33.696,39.552,,,,,,,,
Truck-108,Route-108,(175.0 0.0 105.5),(125.0 0.0 0.0),377.1078,380.304,0.04145021,35.0,2.294399999999999,10.86583,33.952,41.312,,,,,,,,
Truck-110,Route-110,(175.0 0.0 155.5),(625.0 0.0 200.0),377.1078,386.448,0.121131,35.0,2.4699428571428563,11.04137,7.008,74.392,,,,,,,,
Truck-112,Route-112,(425.0 0.0 155.5),(625.0 0.0 100.0),384.2766,389.696,0.06430572,39.0,2.2998974358974364,9.992206,29.816,54.856,,,,,,,,
Truck-105,Route-105,(675.0 0.0 105.5),(375.0 0.0 100.0),369.9391,393.208,0.3327021,31.0,3.0067096774193556,12.68413,39.704,36.464,,,,,,,,
Truck-114,Route-114,(175.0 0.0 55.5),(625.0 0.0 0.0),398.614,412.216,0.1379323,47.0,2.3875744680851065,8.770554,40.952,66.216,,,,,,,,
