Truck_id,Route_id,Origin,Destination,Completion_Time_alone,Completion_Time,Congestion_ratio,Path_length,TravelTime_by_Distance,CompletionTime_by_Distance,PickupSta_AT,DropSta_AT,Unnamed: 10,Unnamed: 11,C_max_prev,C_max_now,C_max,Congestion_ratio_AVG_prev,Congestion_ratio_AVG_now,Congestion_ratio_AVG
Truck-7,Route-7,(675.0 0.0 155.5),(625.0 0.0 200.0),341.2643,340.656,-0.01474172,15.0,2.7104000000000004,22.7104,6.872,28.744,,,427.744,487.168,487.168,0.3727667,0.2926636,0.3290741
Truck-18,Route-18,(175.0 0.0 105.5),(125.0 0.0 200.0),344.8487,346.136,0.02870371,17.0,2.713882352941178,20.36094,9.288,31.664,,,,,,,,
Truck-14,Route-14,(425.0 0.0 55.5),(375.0 0.0 200.0),348.433,352.856,0.09132146,19.0,2.781894736842105,18.57137,6.856,40.896,,,,,,,,
Truck-13,Route-13,(425.0 0.0 155.5),(125.0 0.0 200.0),359.1861,358.88,-0.005171163,25.0,2.3552,14.3552,22.464,31.256,,,,,,,,
Truck-16,Route-16,(175.0 0.0 5.5),(125.0 0.0 200.0),352.0174,361.24,0.177299,21.0,2.9161904761904767,17.2019,6.856,49.32,,,,,,,,
Truck-19,Route-19,(675.0 0.0 205.5),(625.0 0.0 0.0),352.0174,366.8,0.2841863,21.0,3.1809523809523816,17.46667,9.264,43.368,,,,,,,,
Truck-11,Route-11,(425.0 0.0 5.5),(375.0 0.0 200.0),352.0174,367.504,0.2977205,21.0,3.2144761904761916,17.50019,6.864,55.584,,,,,,,,
Truck-12,Route-12,(675.0 0.0 205.5),(125.0 0.0 100.0),362.7704,373.624,0.1729091,27.0,2.7268148148148157,13.83793,6.864,61.688,,,,,,,,
Truck-9,Route-9,(425.0 0.0 105.5),(625.0 0.0 200.0),362.7704,373.776,0.1753308,27.0,2.732444444444445,13.84356,6.864,61.848,,,,,,,,
Truck-23,Route-23,(175.0 0.0 194.5),(625.0 0.0 50.0),377.1078,379.448,0.03034904,35.0,2.2699428571428566,10.84137,16.176,58.208,,,,,,,,
Truck-24,Route-24,(425.0 0.0 55.5),(375.0 0.0 200.0),348.433,381.0,0.6724129,19.0,4.2631578947368425,20.05263,9.264,60.552,,,,,,,,
Truck-21,Route-21,(675.0 0.0 155.5),(375.0 0.0 200.0),341.2643,381.016,0.9633428,15.0,5.401066666666668,25.40107,9.28,66.52,,,,,,,,
Truck-1,Route-1,(175.0 0.0 105.5),(125.0 0.0 200.0),377.1078,381.512,0.05711668,35.0,2.3289142857142857,10.90034,33.328,43.048,,,,,,,,
Truck-15,Route-15,(675.0 0.0 -5.5),(625.0 0.0 100.0),369.9391,382.912,0.185488,31.0,2.6745806451612895,12.352,36.048,41.744,,,,,,,,
Truck-0,Route-0,(425.0 0.0 205.5),(625.0 0.0 0.0),352.0174,383.104,0.5976204,21.0,3.9573333333333327,18.24305,6.88,71.088,,,,,,,,
Truck-10,Route-10,(175.0 0.0 155.5),(625.0 0.0 200.0),377.1078,385.976,0.1150099,35.0,2.456457142857143,11.02789,6.864,74.016,,,,,,,,
Truck-17,Route-17,(425.0 0.0 205.5),(375.0 0.0 150.0),341.2643,387.544,1.121543,15.0,5.836266666666665,25.83627,9.288,61.128,,,,,,,,
Truck-2,Route-2,(175.0 0.0 205.5),(625.0 0.0 100.0),380.6922,391.576,0.1348803,37.0,2.4750270270270276,10.58313,6.872,79.624,,,,,,,,
Truck-22,Route-22,(675.0 0.0 105.5),(375.0 0.0 150.0),366.3548,397.04,0.4624422,29.0,3.346206896551725,13.69103,38.448,44.408,,,,,,,,
Truck-5,Route-5,(175.0 0.0 55.5),(625.0 0.0 200.0),384.2766,405.52,0.2520682,39.0,2.7056410256410253,10.39795,6.872,93.576,,,,,,,,
Truck-3,Route-3,(675.0 0.0 105.5),(625.0 0.0 200.0),380.6922,410.592,0.3705415,37.0,2.9889729729729724,11.09708,22.48,82.96,,,,,,,,
Truck-20,Route-20,(425.0 0.0 5.5),(125.0 0.0 200.0),352.0174,411.648,1.14636,21.0,5.31657142857143,19.60229,9.272,88.208,,,,,,,,
Truck-4,Route-4,(175.0 0.0 -5.5),(375.0 0.0 200.0),380.6922,413.72,0.409306,37.0,3.073513513513514,11.18162,26.608,81.904,,,,,,,,
Truck-8,Route-8,(675.0 0.0 55.5),(125.0 0.0 200.0),366.3548,417.224,0.7666252,29.0,4.042206896551724,14.38703,6.864,105.312,,,,,,,,
Truck-6,Route-6,(675.0 0.0 5.5),(125.0 0.0 200.0),369.9391,427.744,0.8265027,31.0,4.120774193548388,13.79819,6.872,115.84,,,,,,,,
Truck-114,Route-114,(175.0 0.0 105.5),(125.0 0.0 200.0),344.8487,346.04,0.02656367,17.0,2.708235294117648,20.3553,7.144,33.848,,,,,,,,
Truck-103,Route-103,(675.0 0.0 105.5),(375.0 0.0 200.0),344.8487,347.504,0.05920655,17.0,2.794352941176472,20.44141,7.176,35.32,,,,,,,,
Truck-119,Route-119,(675.0 0.0 205.5),(375.0 0.0 150.0),341.2643,348.048,0.1643961,15.0,3.2032000000000003,23.2032,9.96,33.032,,,,,,,,
Truck-120,Route-120,(425.0 0.0 155.5),(375.0 0.0 200.0),341.2643,349.952,0.2105374,15.0,3.3301333333333334,23.33013,9.984,34.912,,,,,,,,
Truck-129,Route-129,(675.0 0.0 105.5),(375.0 0.0 200.0),344.8487,352.808,0.1774713,17.0,3.1063529411764703,20.75341,9.984,37.768,,,,,,,,
Truck-101,Route-101,(425.0 0.0 205.5),(125.0 0.0 50.0),348.433,354.512,0.1255131,19.0,2.8690526315789473,18.65853,7.176,42.32,,,,,,,,
Truck-109,Route-109,(425.0 0.0 55.5),(125.0 0.0 200.0),348.433,355.336,0.1425264,19.0,2.9124210526315797,18.70189,7.16,43.144,,,,,,,,
Truck-123,Route-123,(175.0 0.0 205.5),(125.0 0.0 150.0),341.2643,355.992,0.3569111,15.0,3.7328000000000015,23.7328,9.968,34.968,,,,,,,,
Truck-112,Route-112,(675.0 0.0 205.5),(125.0 0.0 150.0),359.1861,360.968,0.03010711,25.0,2.438720000000001,14.43872,7.152,48.816,,,,,,,,
Truck-111,Route-111,(675.0 0.0 55.5),(625.0 0.0 200.0),348.433,363.456,0.3101806,19.0,3.3397894736842115,19.12926,7.152,51.224,,,,,,,,
Truck-107,Route-107,(175.0 0.0 5.5),(375.0 0.0 200.0),352.0174,364.424,0.2385097,21.0,3.067809523809523,17.35353,7.16,52.232,,,,,,,,
Truck-121,Route-121,(425.0 0.0 205.5),(375.0 0.0 100.0),344.8487,365.032,0.4500324,17.0,3.825411764705881,21.47247,9.984,49.928,,,,,,,,
