Truck_id,Route_id,Origin,Destination,Completion_Time_alone,Completion_Time,Congestion_ratio,Path_length,TravelTime_by_Distance,CompletionTime_by_Distance,PickupSta_AT,DropSta_AT,Unnamed: 10,Unnamed: 11,C_max_prev,C_max_now,C_max,Congestion_ratio_AVG_prev,Congestion_ratio_AVG_now,Congestion_ratio_AVG
Truck-2,Route-2,(175.0 0.0 155.5),(125.0 0.0 200.0),341.2643,339.616,-0.0399453,15.0,2.641066666666666,22.64107,7.08,27.528,,,404.416,409.336,409.336,0.08768357,0.07941806,0.08355082
Truck-9,Route-9,(675.0 0.0 105.5),(125.0 0.0 200.0),362.7704,360.248,-0.04018502,27.0,2.231407407407407,13.34252,7.08,48.096,,,,,,,,
Truck-11,Route-11,(675.0 0.0 155.5),(625.0 0.0 150.0),362.7704,365.848,0.04902908,27.0,2.4388148148148154,13.54993,30.352,30.344,,,,,,,,
Truck-3,Route-3,(175.0 0.0 -5.5),(375.0 0.0 200.0),362.7704,369.768,0.1114791,27.0,2.583999999999999,13.69511,16.648,48.04,,,,,,,,
Truck-0,Route-0,(675.0 0.0 205.5),(125.0 0.0 0.0),369.9391,371.392,0.02077351,31.0,2.302967741935484,11.98039,7.088,59.296,,,,,,,,
Truck-7,Route-7,(675.0 0.0 -5.5),(375.0 0.0 200.0),362.7704,374.632,0.1889676,27.0,2.7641481481481485,13.87526,31.376,38.096,,,,,,,,
Truck-10,Route-10,(425.0 0.0 155.5),(625.0 0.0 0.0),373.5235,376.352,0.03847101,33.0,2.313696969696969,11.40461,30.352,40.856,,,,,,,,
Truck-8,Route-8,(425.0 0.0 55.5),(375.0 0.0 150.0),369.9391,376.352,0.09169221,31.0,2.462967741935483,12.14039,38.328,32.848,,,,,,,,
Truck-13,Route-13,(425.0 0.0 105.5),(375.0 0.0 50.0),373.5235,379.664,0.08351801,33.0,2.414060606060606,11.50497,34.184,40.256,,,,,,,,
Truck-6,Route-6,(675.0 0.0 55.5),(125.0 0.0 200.0),366.3548,379.864,0.2035912,29.0,2.7539310344827577,13.09876,7.08,67.68,,,,,,,,
Truck-5,Route-5,(425.0 0.0 194.5),(125.0 0.0 50.0),377.1078,385.096,0.1035972,35.0,2.431314285714286,11.00274,16.648,63.296,,,,,,,,
Truck-14,Route-14,(175.0 0.0 205.5),(625.0 0.0 0.0),387.8609,391.328,0.03946126,41.0,2.2275121951219505,9.544585,7.072,79.256,,,,,,,,
Truck-12,Route-12,(175.0 0.0 105.5),(625.0 0.0 200.0),380.6922,400.392,0.2441351,37.0,2.7132972972972973,10.82141,7.072,88.344,,,,,,,,
Truck-1,Route-1,(175.0 0.0 55.5),(375.0 0.0 100.0),391.4453,402.592,0.1218954,43.0,2.385860465116279,9.362605,37.544,56.752,,,,,,,,
Truck-4,Route-4,(425.0 0.0 -5.5),(125.0 0.0 0.0),395.0296,404.416,0.09877326,45.0,2.3203555555555555,8.987021,33.984,65.32,,,,,,,,
Truck-110,Route-110,(675.0 0.0 155.5),(375.0 0.0 200.0),341.2643,340.896,-0.008925792,15.0,2.726400000000001,22.7264,7.288,28.576,,,,,,,,
Truck-100,Route-100,(425.0 0.0 155.5),(125.0 0.0 200.0),341.2643,343.576,0.05602119,15.0,2.9050666666666682,22.90507,7.296,31.312,,,,,,,,
Truck-109,Route-109,(425.0 0.0 205.5),(125.0 0.0 100.0),344.8487,345.776,0.02067704,17.0,2.692705882352942,20.33977,7.288,33.528,,,,,,,,
Truck-101,Route-101,(175.0 0.0 5.5),(125.0 0.0 200.0),352.0174,355.8,0.07271847,21.0,2.6571428571428575,16.94286,7.296,43.544,,,,,,,,
Truck-107,Route-107,(675.0 0.0 205.5),(625.0 0.0 0.0),352.0174,356.84,0.09271196,21.0,2.7066666666666657,16.99238,7.296,44.528,,,,,,,,
Truck-111,Route-111,(425.0 0.0 5.5),(625.0 0.0 200.0),352.0174,358.232,0.1194722,21.0,2.772952380952382,17.05867,7.288,45.928,,,,,,,,
Truck-104,Route-104,(175.0 0.0 55.5),(375.0 0.0 200.0),366.3548,364.192,-0.0325942,29.0,2.2135172413793107,12.55834,7.296,51.944,,,,,,,,
Truck-106,Route-106,(425.0 0.0 105.5),(125.0 0.0 150.0),366.3548,375.928,0.1442736,29.0,2.6182068965517242,12.96303,36.928,33.896,,,,,,,,
Truck-103,Route-103,(675.0 0.0 105.5),(625.0 0.0 100.0),369.9391,377.512,0.1082781,31.0,2.5003870967741935,12.17781,39.392,33.136,,,,,,,,
Truck-112,Route-112,(675.0 0.0 55.5),(375.0 0.0 200.0),366.3548,378.368,0.1810457,29.0,2.7023448275862068,13.04717,41.416,31.792,,,,,,,,
Truck-113,Route-113,(425.0 0.0 55.5),(625.0 0.0 200.0),373.5235,382.656,0.1242126,33.0,2.5047272727272727,11.59564,31.36,46.232,,,,,,,,
Truck-108,Route-108,(175.0 0.0 155.5),(375.0 0.0 100.0),384.2766,385.272,0.01181174,39.0,2.1864615384615385,9.878769,32.608,47.688,,,,,,,,
Truck-105,Route-105,(675.0 0.0 -5.5),(125.0 0.0 150.0),384.2766,385.616,0.01589347,39.0,2.195282051282051,9.887589,36.52,44.064,,,,,,,,
Truck-114,Route-114,(175.0 0.0 205.5),(625.0 0.0 50.0),384.2766,391.864,0.09003054,39.0,2.355487179487179,10.0478,7.288,79.608,,,,,,,,
Truck-102,Route-102,(175.0 0.0 105.5),(375.0 0.0 50.0),391.4453,409.336,0.1956443,43.0,2.542697674418605,9.519442,44.624,59.552,,,,,,,,
