Truck_id,Route_id,Origin,Destination,Completion_Time_alone,Completion_Time,Congestion_ratio,Path_length,TravelTime_by_Distance,CompletionTime_by_Distance,PickupSta_AT,DropSta_AT,Unnamed: 10,Unnamed: 11,C_max_prev,C_max_now,C_max,Congestion_ratio_AVG_prev,Congestion_ratio_AVG_now,Congestion_ratio_AVG
Truck-10,Route-10,(425.0 0.0 155.5),(375.0 0.0 200.0),341.2643,339.816,-0.0350982,15.0,2.654399999999998,22.6544,6.792,27.992,,,394.864,438.408,438.408,0.1038038,0.1489013,0.1295738
Truck-4,Route-4,(675.0 0.0 205.5),(375.0 0.0 100.0),344.8487,343.6,-0.02784157,17.0,2.5647058823529427,20.21177,6.792,31.792,,,,,,,,
Truck-12,Route-12,(675.0 0.0 55.5),(375.0 0.0 200.0),348.433,346.912,-0.03140475,19.0,2.469052631578946,18.25853,6.792,35.088,,,,,,,,
Truck-1,Route-1,(425.0 0.0 105.5),(375.0 0.0 200.0),344.8487,351.752,0.1539254,17.0,3.0442352941176476,20.6913,6.792,39.928,,,,,,,,
Truck-2,Route-2,(675.0 0.0 155.5),(125.0 0.0 200.0),359.1861,356.96,-0.03761146,25.0,2.278399999999999,14.2784,6.792,45.104,,,,,,,,
Truck-8,Route-8,(425.0 0.0 205.5),(625.0 0.0 0.0),352.0174,360.672,0.1663797,21.0,2.8891428571428586,17.17486,6.792,48.824,,,,,,,,
Truck-6,Route-6,(175.0 0.0 105.5),(375.0 0.0 200.0),362.7704,370.24,0.1189983,27.0,2.601481481481482,13.71259,6.792,58.304,,,,,,,,
Truck-5,Route-5,(425.0 0.0 5.5),(625.0 0.0 200.0),352.0174,370.8,0.3610837,21.0,3.371428571428572,17.65714,6.792,58.976,,,,,,,,
Truck-3,Route-3,(175.0 0.0 155.5),(125.0 0.0 50.0),369.9391,375.432,0.07853816,31.0,2.4332903225806457,12.11071,29.672,40.728,,,,,,,,
Truck-7,Route-7,(425.0 0.0 55.5),(625.0 0.0 200.0),366.3548,380.736,0.2167324,29.0,2.784,13.12883,6.792,68.92,,,,,,,,
Truck-13,Route-13,(175.0 0.0 205.5),(625.0 0.0 100.0),380.6922,380.944,0.003120507,37.0,2.1876756756756763,10.29578,6.792,69.064,,,,,,,,
Truck-11,Route-11,(675.0 0.0 -5.5),(125.0 0.0 200.0),380.6922,384.376,0.04565258,37.0,2.280432432432432,10.38854,32.648,46.648,,,,,,,,
Truck-14,Route-14,(175.0 0.0 5.5),(625.0 0.0 200.0),369.9391,390.64,0.2959845,31.0,2.923870967741935,12.60129,6.792,78.752,,,,,,,,
Truck-9,Route-9,(675.0 0.0 105.5),(125.0 0.0 150.0),384.2766,394.64,0.1229697,39.0,2.4266666666666663,10.11897,53.032,33.56,,,,,,,,
Truck-0,Route-0,(175.0 0.0 55.5),(625.0 0.0 200.0),384.2766,394.864,0.1256276,39.0,2.4324102564102557,10.12472,6.8,83.024,,,,,,,,
Truck-109,Route-109,(675.0 0.0 205.5),(375.0 0.0 150.0),341.2643,339.776,-0.03606777,15.0,2.651733333333334,22.65173,6.936,27.808,,,,,,,,
Truck-100,Route-100,(675.0 0.0 105.5),(625.0 0.0 200.0),344.8487,346.352,0.03351998,17.0,2.726588235294116,20.37365,6.944,34.416,,,,,,,,
Truck-113,Route-113,(675.0 0.0 55.5),(625.0 0.0 200.0),348.433,350.28,0.03813483,19.0,2.646315789473683,18.43579,6.936,38.32,,,,,,,,
Truck-107,Route-107,(425.0 0.0 55.5),(125.0 0.0 200.0),348.433,353.072,0.0957813,19.0,2.793263157894737,18.58274,6.936,41.096,,,,,,,,
Truck-118,Route-118,(675.0 0.0 205.5),(375.0 0.0 50.0),348.433,357.52,0.1876194,19.0,3.0273684210526306,18.81684,9.504,42.944,,,,,,,,
Truck-111,Route-111,(425.0 0.0 5.5),(375.0 0.0 200.0),352.0174,359.52,0.1442331,21.0,2.8342857142857136,17.12,6.936,47.536,,,,,,,,
Truck-102,Route-102,(675.0 0.0 155.5),(125.0 0.0 200.0),359.1861,362.056,0.04849003,25.0,2.482239999999999,14.48224,6.944,50.08,,,,,,,,
Truck-119,Route-119,(175.0 0.0 205.5),(125.0 0.0 150.0),341.2643,362.672,0.5187942,15.0,4.178133333333335,24.17813,9.504,42.104,,,,,,,,
Truck-112,Route-112,(425.0 0.0 105.5),(625.0 0.0 200.0),362.7704,364.6,0.02914733,27.0,2.3925925925925933,13.5037,6.936,52.624,,,,,,,,
Truck-105,Route-105,(425.0 0.0 205.5),(625.0 0.0 100.0),362.7704,370.544,0.1238416,27.0,2.61274074074074,13.72385,6.936,58.56,,,,,,,,
Truck-110,Route-110,(175.0 0.0 205.5),(625.0 0.0 0.0),369.9391,371.008,0.01528298,31.0,2.2905806451612896,11.968,6.936,59.04,,,,,,,,
Truck-104,Route-104,(175.0 0.0 5.5),(375.0 0.0 200.0),352.0174,371.208,0.3689276,21.0,3.3908571428571443,17.67657,6.936,59.272,,,,,,,,
Truck-101,Route-101,(175.0 0.0 155.5),(125.0 0.0 50.0),369.9391,376.76,0.09752614,31.0,2.476129032258064,12.15355,29.952,41.744,,,,,,,,
Truck-108,Route-108,(675.0 0.0 -5.5),(625.0 0.0 150.0),366.3548,379.912,0.2043142,29.0,2.755586206896551,13.10041,35.768,33.152,,,,,,,,
Truck-114,Route-114,(175.0 0.0 55.5),(375.0 0.0 200.0),366.3548,381.112,0.222399,29.0,2.79696551724138,13.14179,6.936,69.128,,,,,,,,
Truck-103,Route-103,(175.0 0.0 105.5),(625.0 0.0 200.0),380.6922,382.856,0.02681533,37.0,2.239351351351351,10.34746,6.936,70.872,,,,,,,,
Truck-116,Route-116,(425.0 0.0 155.5),(125.0 0.0 100.0),366.3548,387.816,0.3234318,29.0,3.028137931034482,13.37297,37.104,42.632,,,,,,,,
Truck-117,Route-117,(675.0 0.0 55.5),(375.0 0.0 0.0),380.6922,396.728,0.198728,37.0,2.6142702702702705,10.72238,45.48,43.232,,,,,,,,
Truck-115,Route-115,(175.0 0.0 55.5),(625.0 0.0 0.0),398.614,420.136,0.2182453,47.0,2.5560851063829793,8.939063,42.416,72.624,,,,,,,,
Truck-106,Route-106,(425.0 0.0 155.5),(625.0 0.0 50.0),423.7044,438.408,0.1188606,61.0,2.268983606557377,7.187016,48.512,84.84,,,,,,,,
