Truck_id,Route_id,Origin,Destination,Completion_Time_alone,Completion_Time,Congestion_ratio,Path_length,TravelTime_by_Distance,CompletionTime_by_Distance,PickupSta_AT,DropSta_AT,Unnamed: 10,Unnamed: 11,C_max_prev,C_max_now,C_max,Congestion_ratio_AVG_prev,Congestion_ratio_AVG_now,Congestion_ratio_AVG
Truck-4,Route-4,(675.0 0.0 105.5),(625.0 0.0 200.0),344.8487,349.04,0.0934553,17.0,2.8847058823529426,20.53176,6.928,37.056,,,418.096,425.536,425.536,0.1030145,0.09206611,0.09675826
Truck-13,Route-13,(425.0 0.0 205.5),(125.0 0.0 50.0),348.433,351.768,0.06885781,19.0,2.724631578947367,18.5141,6.92,39.808,,,,,,,,
Truck-9,Route-9,(425.0 0.0 155.5),(625.0 0.0 200.0),359.1861,360.08,0.01510357,25.0,2.4031999999999996,14.4032,6.92,48.072,,,,,,,,
Truck-1,Route-1,(175.0 0.0 194.5),(125.0 0.0 150.0),352.0174,361.624,0.1846812,21.0,2.934476190476192,17.22019,16.384,40.112,,,,,,,,
Truck-7,Route-7,(675.0 0.0 155.5),(125.0 0.0 200.0),359.1861,366.68,0.1266164,25.0,2.6672000000000002,14.6672,6.928,54.608,,,,,,,,
Truck-3,Route-3,(425.0 0.0 5.5),(125.0 0.0 200.0),369.9391,370.952,0.01448229,31.0,2.288774193548387,11.96619,6.928,58.952,,,,,,,,
Truck-11,Route-11,(675.0 0.0 55.5),(125.0 0.0 200.0),366.3548,371.944,0.08423258,29.0,2.480827586206897,12.82565,6.92,60.0,,,,,,,,
Truck-2,Route-2,(425.0 0.0 105.5),(375.0 0.0 100.0),369.9391,374.864,0.0704169,31.0,2.414967741935483,12.09239,35.232,34.512,,,,,,,,
Truck-6,Route-6,(675.0 0.0 205.5),(125.0 0.0 50.0),366.3548,375.512,0.138004,29.0,2.603862068965517,12.94869,6.928,63.528,,,,,,,,
Truck-5,Route-5,(175.0 0.0 105.5),(375.0 0.0 200.0),362.7704,377.232,0.2303884,27.0,2.8604444444444455,13.97156,6.928,65.24,,,,,,,,
Truck-0,Route-0,(425.0 0.0 55.5),(625.0 0.0 200.0),366.3548,377.232,0.1639253,29.0,2.6631724137931045,13.008,6.928,65.24,,,,,,,,
Truck-10,Route-10,(175.0 0.0 155.5),(125.0 0.0 0.0),373.5235,380.08,0.08917586,33.0,2.4266666666666663,11.51758,29.768,45.28,,,,,,,,
Truck-8,Route-8,(175.0 0.0 -5.5),(625.0 0.0 0.0),377.1078,390.064,0.1680263,35.0,2.5732571428571434,11.14469,38.84,46.128,,,,,,,,
Truck-14,Route-14,(675.0 0.0 -5.5),(375.0 0.0 0.0),395.0296,403.056,0.08446208,45.0,2.290133333333333,8.9568,35.456,62.528,,,,,,,,
Truck-12,Route-12,(175.0 0.0 55.5),(625.0 0.0 0.0),416.5357,418.096,0.01338905,57.0,2.071859649122807,7.335018,36.84,73.192,,,,,,,,
Truck-118,Route-118,(175.0 0.0 155.5),(125.0 0.0 200.0),341.2643,342.312,0.02538995,15.0,2.8208000000000006,22.8208,9.48,27.784,,,,,,,,
Truck-107,Route-107,(675.0 0.0 205.5),(375.0 0.0 100.0),344.8487,344.12,-0.01624727,17.0,2.595294117647059,20.24235,6.984,32.104,,,,,,,,
