Truck_id,Route_id,Origin,Destination,Completion_Time_alone,Completion_Time,Congestion_ratio,Path_length,TravelTime_by_Distance,CompletionTime_by_Distance,PickupSta_AT,DropSta_AT,Unnamed: 10,Unnamed: 11,C_max_prev,C_max_now,C_max,Congestion_ratio_AVG_prev,Congestion_ratio_AVG_now,Congestion_ratio_AVG
Truck-8,Route-8,(425.0 0.0 155.5),(375.0 0.0 200.0),341.2643,339.832,-0.03471067,15.0,2.6554666666666664,22.65547,6.912,27.896,,,440.2,453.152,453.152,0.2249206,0.2752368,0.2523658
Truck-2,Route-2,(675.0 0.0 105.5),(375.0 0.0 200.0),344.8487,343.88,-0.02159838,17.0,2.581176470588235,20.22824,6.92,31.912,,,,,,,,
Truck-10,Route-10,(175.0 0.0 105.5),(125.0 0.0 200.0),344.8487,344.432,-0.009290277,17.0,2.6136470588235303,20.26071,6.904,32.448,,,,,,,,
Truck-13,Route-13,(675.0 0.0 205.5),(375.0 0.0 100.0),344.8487,350.52,0.1264547,17.0,2.971764705882352,20.61882,6.904,38.552,,,,,,,,
Truck-23,Route-23,(675.0 0.0 205.5),(625.0 0.0 150.0),341.2643,356.4,0.3667983,15.0,3.7599999999999985,23.76,9.448,32.792,,,,,,,,
Truck-24,Route-24,(425.0 0.0 205.5),(125.0 0.0 150.0),341.2643,358.184,0.4100317,15.0,3.878933333333335,23.87893,9.464,34.6,,,,,,,,
Truck-12,Route-12,(675.0 0.0 5.5),(625.0 0.0 200.0),352.0174,359.976,0.1529998,21.0,2.856,17.14171,6.904,48.008,,,,,,,,
Truck-7,Route-7,(425.0 0.0 105.5),(125.0 0.0 200.0),362.7704,361.712,-0.01686162,27.0,2.285629629629629,13.39674,23.24,33.4,,,,,,,,
Truck-14,Route-14,(675.0 0.0 55.5),(625.0 0.0 200.0),348.433,362.144,0.283092,19.0,3.2707368421052636,19.06021,6.896,50.208,,,,,,,,
Truck-3,Route-3,(425.0 0.0 205.5),(625.0 0.0 0.0),352.0174,365.192,0.2532735,21.0,3.1043809523809527,17.39009,6.92,53.256,,,,,,,,
Truck-4,Route-4,(175.0 0.0 5.5),(375.0 0.0 200.0),352.0174,381.56,0.5679379,21.0,3.883809523809524,18.16952,6.92,69.56,,,,,,,,
