Truck_id,Route_id,Origin,Destination,Completion_Time_alone,Completion_Time,Congestion_ratio,Path_length,TravelTime_by_Distance,CompletionTime_by_Distance,PickupSta_AT,DropSta_AT,Unnamed: 10,Unnamed: 11,C_max_prev,C_max_now,C_max,Congestion_ratio_AVG_prev,Congestion_ratio_AVG_now,Congestion_ratio_AVG
Truck-0,Route-0,(425.0 0.0 205.5),(625.0 0.0 150.0),359.1861,360.272,0.01834786,25.0,2.4108799999999997,14.41088,7.192,47.984,,,393.672,399.408,399.408,0.03143489,0.0361806,0.0345987
Truck-4,Route-4,(425.0 0.0 -5.5),(125.0 0.0 200.0),362.7704,369.392,0.1054889,27.0,2.570074074074074,13.68118,30.336,33.96,,,,,,,,
Truck-3,Route-3,(175.0 0.0 -5.5),(375.0 0.0 200.0),380.6922,383.088,0.02969076,37.0,2.245621621621622,10.35373,30.336,47.632,,,,,,,,
Truck-2,Route-2,(175.0 0.0 194.5),(625.0 0.0 200.0),391.4453,389.552,-0.02070364,43.0,2.082604651162791,9.059349,24.304,60.088,,,,,,,,
Truck-1,Route-1,(175.0 0.0 55.5),(625.0 0.0 200.0),391.4453,393.672,0.02435059,43.0,2.1784186046511635,9.155163,46.424,42.232,,,,,,,,
Truck-101,Route-101,(675.0 0.0 155.5),(375.0 0.0 200.0),341.2643,339.888,-0.03335357,15.0,2.6591999999999985,22.6592,7.352,27.56,,,,,,,,
Truck-104,Route-104,(425.0 0.0 105.5),(375.0 0.0 200.0),344.8487,345.76,0.02032048,17.0,2.6917647058823526,20.33882,7.352,33.448,,,,,,,,
Truck-105,Route-105,(175.0 0.0 194.5),(625.0 0.0 0.0),362.7704,360.304,-0.03929288,27.0,2.2334814814814803,13.34459,16.808,38.528,,,,,,,,
Truck-109,Route-109,(425.0 0.0 55.5),(125.0 0.0 200.0),366.3548,362.504,-0.05803304,29.0,2.155310344827587,12.50014,7.352,50.152,,,,,,,,
Truck-108,Route-108,(675.0 0.0 205.5),(125.0 0.0 0.0),369.9391,370.592,0.009335163,31.0,2.27716129032258,11.95458,7.352,58.272,,,,,,,,
Truck-102,Route-102,(175.0 0.0 155.5),(375.0 0.0 0.0),373.5235,375.12,0.02171452,33.0,2.2763636363636364,11.36727,31.048,38.92,,,,,,,,
Truck-103,Route-103,(675.0 0.0 55.5),(375.0 0.0 150.0),369.9391,377.72,0.1112522,31.0,2.5070967741935495,12.18452,40.728,31.84,,,,,,,,
Truck-107,Route-107,(175.0 0.0 105.5),(125.0 0.0 50.0),373.5235,379.12,0.07611892,33.0,2.397575757575758,11.48848,36.44,37.528,,,,,,,,
Truck-100,Route-100,(425.0 0.0 155.5),(625.0 0.0 50.0),387.8609,398.608,0.1223195,41.0,2.4050731707317072,9.722146,30.84,56.632,,,,,,,,
Truck-106,Route-106,(675.0 0.0 -5.5),(125.0 0.0 100.0),387.8609,399.408,0.1314247,41.0,2.424585365853659,9.741658,37.096,57.216,,,,,,,,
