Truck_id,Route_id,Origin,Destination,Completion_Time_alone,Completion_Time,Congestion_ratio,Path_length,TravelTime_by_Distance,CompletionTime_by_Distance,PickupSta_AT,DropSta_AT,Unnamed: 10,Unnamed: 11,C_max_prev,C_max_now,C_max,Congestion_ratio_AVG_prev,Congestion_ratio_AVG_now,Congestion_ratio_AVG
Truck-3,Route-3,(175.0 0.0 155.5),(125.0 0.0 200.0),341.2643,338.488,-0.06728105,15.0,2.5658666666666665,22.56587,6.664,26.56,,,389.944,403.872,403.872,0.002416266,0.02348621,0.01295124
Truck-5,Route-5,(425.0 0.0 155.5),(375.0 0.0 200.0),341.2643,338.552,-0.06573018,15.0,2.570133333333335,22.57013,6.664,26.6,,,,,,,,
Truck-2,Route-2,(675.0 0.0 155.5),(625.0 0.0 200.0),341.2643,338.56,-0.06553642,15.0,2.570666666666667,22.57067,6.664,26.6,,,,,,,,
Truck-1,Route-1,(175.0 0.0 194.5),(375.0 0.0 0.0),362.7704,363.832,0.01691218,27.0,2.364148148148148,13.47526,16.248,42.28,,,,,,,,
Truck-8,Route-8,(425.0 0.0 194.5),(375.0 0.0 50.0),377.1078,372.88,-0.05483027,35.0,2.0822857142857143,10.65371,16.248,51.368,,,,,,,,
Truck-0,Route-0,(675.0 0.0 105.5),(625.0 0.0 100.0),369.9391,376.008,0.08677373,31.0,2.451870967741935,12.12929,35.384,32.352,,,,,,,,
Truck-4,Route-4,(175.0 0.0 55.5),(125.0 0.0 50.0),377.1078,376.248,-0.01115144,35.0,2.1785142857142854,10.74994,36.776,34.192,,,,,,,,
Truck-9,Route-9,(675.0 0.0 -5.5),(375.0 0.0 100.0),369.9391,378.048,0.1159421,31.0,2.517677419354839,12.1951,35.376,31.376,,,,,,,,
Truck-6,Route-6,(425.0 0.0 -5.5),(125.0 0.0 200.0),380.6922,384.352,0.04535494,37.0,2.2797837837837833,10.38789,16.248,62.824,,,,,,,,
Truck-7,Route-7,(175.0 0.0 105.5),(125.0 0.0 100.0),387.8609,389.944,0.02370906,41.0,2.1937560975609762,9.510829,49.6,35.336,,,,,,,,
Truck-100,Route-100,(675.0 0.0 205.5),(625.0 0.0 150.0),341.2643,344.032,0.06707249,15.0,2.9354666666666653,22.93547,6.872,31.912,,,,,,,,
Truck-102,Route-102,(175.0 0.0 194.5),(125.0 0.0 0.0),362.7704,363.352,0.009265088,27.0,2.3463703703703693,13.45748,16.464,41.64,,,,,,,,
Truck-103,Route-103,(425.0 0.0 55.5),(125.0 0.0 200.0),366.3548,366.072,-0.004261576,29.0,2.278344827586207,12.62317,29.976,30.848,,,,,,,,
Truck-109,Route-109,(425.0 0.0 194.5),(125.0 0.0 150.0),369.9391,367.36,-0.03687682,31.0,2.172903225806452,11.85032,16.464,45.64,,,,,,,,
Truck-101,Route-101,(675.0 0.0 155.5),(625.0 0.0 0.0),373.5235,373.744,0.002999315,33.0,2.2346666666666675,11.32558,31.136,37.312,,,,,,,,
Truck-105,Route-105,(425.0 0.0 155.5),(375.0 0.0 50.0),369.9391,377.048,0.1016439,31.0,2.48541935483871,12.16284,31.136,40.56,,,,,,,,
Truck-106,Route-106,(675.0 0.0 -5.5),(125.0 0.0 200.0),380.6922,385.624,0.06111859,37.0,2.314162162162163,10.42227,29.424,50.936,,,,,,,,
Truck-108,Route-108,(675.0 0.0 55.5),(625.0 0.0 200.0),384.2766,385.8,0.01807665,39.0,2.2,9.892307,29.968,50.552,,,,,,,,
Truck-107,Route-107,(175.0 0.0 55.5),(375.0 0.0 200.0),391.4453,394.544,0.03388645,43.0,2.198697674418604,9.175442,46.616,42.648,,,,,,,,
Truck-104,Route-104,(175.0 0.0 155.5),(625.0 0.0 50.0),405.7827,403.872,-0.01806198,51.0,2.0367058823529414,7.919059,30.888,67.72,,,,,,,,
