Truck_id,Route_id,Origin,Destination,Completion_Time_alone,Completion_Time,Congestion_ratio,Path_length,TravelTime_by_Distance,CompletionTime_by_Distance,PickupSta_AT,DropSta_AT,Unnamed: 10,Unnamed: 11,C_max_prev,C_max_now,C_max,Congestion_ratio_AVG_prev,Congestion_ratio_AVG_now,Congestion_ratio_AVG
Truck-5,Route-5,(425.0 0.0 155.5),(375.0 0.0 200.0),341.2643,340.56,-0.01706839,15.0,2.704,22.704,6.888,28.576,,,383.848,416.472,416.472,0.07139837,0.08595438,0.07971609
Truck-4,Route-4,(175.0 0.0 155.5),(125.0 0.0 200.0),341.2643,341.168,-0.002334062,15.0,2.744533333333334,22.74453,6.888,29.232,,,,,,,,
Truck-6,Route-6,(175.0 0.0 105.5),(125.0 0.0 200.0),344.8487,343.704,-0.02552257,17.0,2.570823529411765,20.21788,6.888,31.76,,,,,,,,
Truck-11,Route-11,(175.0 0.0 55.5),(125.0 0.0 200.0),348.433,346.064,-0.0489133,19.0,2.42442105263158,18.21389,6.888,34.112,,,,,,,,
Truck-10,Route-10,(675.0 0.0 55.5),(375.0 0.0 200.0),348.433,346.928,-0.03107395,19.0,2.469894736842105,18.25937,6.888,34.976,,,,,,,,
Truck-3,Route-3,(675.0 0.0 205.5),(625.0 0.0 50.0),348.433,351.712,0.06770159,19.0,2.7216842105263153,18.51116,6.888,39.768,,,,,,,,
Truck-12,Route-12,(425.0 0.0 55.5),(375.0 0.0 200.0),348.433,356.536,0.1673032,19.0,2.975578947368421,18.76505,6.888,44.552,,,,,,,,
Truck-2,Route-2,(175.0 0.0 5.5),(375.0 0.0 200.0),352.0174,360.112,0.1556141,21.0,2.8624761904761917,17.14819,6.888,48.128,,,,,,,,
Truck-0,Route-0,(175.0 0.0 205.5),(375.0 0.0 0.0),352.0174,360.504,0.16315,21.0,2.881142857142858,17.16686,6.888,48.528,,,,,,,,
Truck-14,Route-14,(425.0 0.0 205.5),(625.0 0.0 100.0),362.7704,363.296,0.008372953,27.0,2.344296296296296,13.45541,6.888,51.312,,,,,,,,
Truck-13,Route-13,(425.0 0.0 105.5),(125.0 0.0 200.0),362.7704,366.312,0.05642141,27.0,2.4560000000000004,13.56711,30.68,27.568,,,,,,,,
Truck-1,Route-1,(675.0 0.0 155.5),(625.0 0.0 0.0),373.5235,375.552,0.02759029,33.0,2.289454545454546,11.38036,29.888,40.648,,,,,,,,
Truck-7,Route-7,(675.0 0.0 105.5),(375.0 0.0 100.0),369.9391,377.624,0.1098795,31.0,2.504000000000001,12.18142,33.56,39.016,,,,,,,,
Truck-8,Route-8,(675.0 0.0 -5.5),(625.0 0.0 150.0),366.3548,378.048,0.176223,29.0,2.691310344827586,13.03614,35.472,31.552,,,,,,,,
Truck-9,Route-9,(425.0 0.0 -5.5),(625.0 0.0 150.0),366.3548,383.848,0.2636318,29.0,2.8913103448275868,13.23614,39.088,27.704,,,,,,,,
Truck-113,Route-113,(175.0 0.0 155.5),(125.0 0.0 200.0),341.2643,339.256,-0.04866919,15.0,2.617066666666665,22.61707,7.024,27.16,,,,,,,,
Truck-111,Route-111,(675.0 0.0 155.5),(625.0 0.0 200.0),341.2643,340.648,-0.01493548,15.0,2.7098666666666684,22.70987,7.024,28.56,,,,,,,,
Truck-103,Route-103,(425.0 0.0 205.5),(375.0 0.0 150.0),341.2643,343.056,0.04341977,15.0,2.8703999999999987,22.8704,7.032,30.96,,,,,,,,
Truck-114,Route-114,(425.0 0.0 55.5),(125.0 0.0 200.0),348.433,346.968,-0.03024852,19.0,2.472000000000001,18.26147,7.024,34.864,,,,,,,,
Truck-109,Route-109,(675.0 0.0 105.5),(375.0 0.0 200.0),344.8487,350.728,0.1310927,17.0,2.9840000000000004,20.63106,7.024,38.624,,,,,,,,
Truck-116,Route-116,(425.0 0.0 55.5),(125.0 0.0 200.0),348.433,351.816,0.06984896,19.0,2.7271578947368407,18.51663,9.504,37.384,,,,,,,,
Truck-108,Route-108,(175.0 0.0 205.5),(125.0 0.0 0.0),352.0174,353.16,0.02196649,21.0,2.5314285714285725,16.81714,7.024,41.056,,,,,,,,
Truck-100,Route-100,(175.0 0.0 55.5),(125.0 0.0 200.0),348.433,354.496,0.125183,19.0,2.8682105263157887,18.65768,7.032,42.496,,,,,,,,
Truck-117,Route-117,(675.0 0.0 5.5),(375.0 0.0 200.0),352.0174,356.184,0.08010068,21.0,2.6754285714285726,16.96114,9.424,41.736,,,,,,,,
Truck-118,Route-118,(675.0 0.0 205.5),(375.0 0.0 100.0),344.8487,358.24,0.2985892,17.0,3.425882352941177,21.07294,9.504,37.696,,,,,,,,
Truck-110,Route-110,(425.0 0.0 5.5),(625.0 0.0 200.0),352.0174,360.24,0.1580746,21.0,2.868571428571429,17.15429,7.024,48.152,,,,,,,,
Truck-107,Route-107,(175.0 0.0 105.5),(375.0 0.0 200.0),362.7704,360.8,-0.03139104,27.0,2.2518518518518524,13.36296,7.024,48.728,,,,,,,,
Truck-112,Route-112,(675.0 0.0 205.5),(375.0 0.0 0.0),369.9391,374.36,0.06321023,31.0,2.3987096774193555,12.07613,7.024,62.264,,,,,,,,
Truck-115,Route-115,(675.0 0.0 55.5),(375.0 0.0 150.0),369.9391,382.624,0.1813703,31.0,2.665290322580646,12.34271,44.832,32.768,,,,,,,,
Truck-104,Route-104,(175.0 0.0 -5.5),(375.0 0.0 200.0),380.6922,383.952,0.04039791,37.0,2.268972972972973,10.37708,26.12,52.768,,,,,,,,
Truck-119,Route-119,(175.0 0.0 105.5),(625.0 0.0 200.0),380.6922,389.04,0.1034525,37.0,2.406486486486487,10.5146,9.512,74.496,,,,,,,,
Truck-106,Route-106,(425.0 0.0 155.5),(625.0 0.0 200.0),395.0296,394.2,-0.008729804,45.0,2.0933333333333333,8.76,25.84,63.352,,,,,,,,
Truck-102,Route-102,(425.0 0.0 105.5),(125.0 0.0 0.0),377.1078,397.848,0.2689758,35.0,2.7956571428571433,11.36709,36.896,37.912,,,,,,,,
Truck-101,Route-101,(675.0 0.0 55.5),(625.0 0.0 100.0),391.4453,399.336,0.0862893,43.0,2.3101395348837213,9.286883,40.88,53.416,,,,,,,,
Truck-105,Route-105,(675.0 0.0 5.5),(625.0 0.0 50.0),398.614,416.472,0.1810903,47.0,2.4781276595744677,8.861106,49.944,55.456,,,,,,,,
