Truck_id,Route_id,Origin,Destination,Completion_Time_alone,Completion_Time,Congestion_ratio,TravelTime_by_Distance,PickupSta_AT,DropSta_AT,,,C_max_prev,C_max_now,C_max,Congestion_ratio_AVG_prev,Congestion_ratio_AVG_now,Congestion_ratio_AVG
Truck-14,Route-14,(425.0 0.0 155.5),(125.0 0.0 200.0),341.2643,340.384,-0.02133345,2.692267,6.72,28.64,,,439.616,424.472,439.616,0.2651488,0.2696741,0.2676171
Truck-10,Route-10,(175.0 0.0 5.5),(375.0 0.0 200.0),352.0174,352.264,0.004741553,2.488762,6.728,40.504
Truck-19,Route-19,(675.0 0.0 105.5),(375.0 0.0 200.0),344.8487,353.784,0.199233,3.163764,9.136,39.624
Truck-7,Route-7,(175.0 0.0 155.5),(375.0 0.0 200.0),359.1861,357.448,-0.02936616,2.29792,6.728,45.664
Truck-13,Route-13,(675.0 0.0 205.5),(375.0 0.0 100.0),344.8487,360.4,0.3467513,3.552941,6.72,48.656
Truck-2,Route-2,(425.0 0.0 55.5),(125.0 0.0 200.0),366.3548,361.4,-0.07467094,2.117241,6.736,49.6
Truck-16,Route-16,(675.0 0.0 155.5),(125.0 0.0 200.0),359.1861,362.576,0.0572757,2.50304,9.152,48.36
Truck-1,Route-1,(675.0 0.0 55.5),(625.0 0.0 200.0),348.433,363.152,0.3039041,3.32379,6.736,51.368
Truck-18,Route-18,(425.0 0.0 55.5),(375.0 0.0 200.0),348.433,371.816,0.4827904,3.77979,9.336,48.4
Truck-15,Route-15,(425.0 0.0 105.5),(625.0 0.0 200.0),362.7704,373.056,0.1638604,2.705778,9.144,58.824
Truck-24,Route-24,(175.0 0.0 155.5),(375.0 0.0 200.0),359.1861,376.832,0.2981434,3.07328,9.328,56.44
Truck-4,Route-4,(425.0 0.0 205.5),(625.0 0.0 0.0),352.0174,379.272,0.5239527,3.774857,6.736,67.496
Truck-12,Route-12,(175.0 0.0 205.5),(625.0 0.0 150.0),377.1078,382.384,0.06842563,2.353829,6.72,70.64
Truck-8,Route-8,(425.0 0.0 5.5),(625.0 0.0 200.0),352.0174,386.952,0.6715956,4.140571,6.728,75.192
Truck-20,Route-20,(425.0 0.0 205.5),(625.0 0.0 0.0),352.0174,389.4,0.7186567,4.257143,9.328,66.048
Truck-3,Route-3,(175.0 0.0 105.5),(625.0 0.0 200.0),380.6922,391.872,0.1385488,2.483027,6.736,80.152
Truck-0,Route-0,(675.0 0.0 155.5),(125.0 0.0 0.0),391.4453,393.16,0.01875168,2.166512,50.288,37.864
Truck-9,Route-9,(675.0 0.0 -5.5),(375.0 0.0 0.0),377.1078,393.32,0.210253,2.666286,35.44,52.864
Truck-23,Route-23,(425.0 0.0 155.5),(125.0 0.0 50.0),369.9391,394.424,0.3500887,3.045936,35.08,51.304
Truck-21,Route-21,(675.0 0.0 -5.5),(375.0 0.0 200.0),362.7704,397.216,0.5487551,3.600593,27.328,64.824
Truck-6,Route-6,(175.0 0.0 55.5),(625.0 0.0 200.0),384.2766,401.68,0.206504,2.607179,6.728,89.896
Truck-17,Route-17,(675.0 0.0 205.5),(125.0 0.0 0.0),369.9391,405.256,0.5049663,3.395355,9.32,81.88
Truck-11,Route-11,(675.0 0.0 105.5),(125.0 0.0 100.0),387.8609,411.472,0.2687325,2.718829,35.96,64.488
Truck-5,Route-5,(425.0 0.0 105.5),(375.0 0.0 150.0),384.2766,413.632,0.3483227,2.913641,40.016,50.56
Truck-22,Route-22,(175.0 0.0 -5.5),(625.0 0.0 100.0),405.7827,439.616,0.3198383,2.737569,45.216,68.328
Truck-111,Route-111,(175.0 0.0 155.5),(125.0 0.0 200.0),341.2643,338.936,-0.05642426,2.595734,7.056,26.936
Truck-104,Route-104,(175.0 0.0 105.5),(125.0 0.0 200.0),344.8487,342.784,-0.04603631,2.516706,7.064,30.752
Truck-115,Route-115,(675.0 0.0 155.5),(375.0 0.0 200.0),341.2643,343.784,0.06106206,2.918933,11.832,26.96
Truck-126,Route-126,(175.0 0.0 105.5),(125.0 0.0 200.0),344.8487,346.096,0.02781231,2.71153,9.616,31.488
Truck-103,Route-103,(675.0 0.0 105.5),(375.0 0.0 200.0),344.8487,348.76,0.08721211,2.868236,7.072,36.688
Truck-122,Route-122,(675.0 0.0 205.5),(625.0 0.0 100.0),344.8487,350.992,0.1369794,2.99953,9.608,36.408
Truck-127,Route-127,(425.0 0.0 205.5),(125.0 0.0 150.0),341.2643,352.272,0.2667605,3.4848,9.608,31.664
Truck-105,Route-105,(425.0 0.0 105.5),(375.0 0.0 200.0),344.8487,357.264,0.2768275,3.368471,7.064,45.2
Truck-100,Route-100,(175.0 0.0 5.5),(125.0 0.0 200.0),352.0174,357.352,0.1025547,2.731047,7.072,45.296
Truck-101,Route-101,(675.0 0.0 55.5),(375.0 0.0 200.0),348.433,359.08,0.2198288,3.109473,7.072,47.024
Truck-125,Route-125,(175.0 0.0 5.5),(125.0 0.0 200.0),352.0174,360.656,0.1660723,2.888381,9.624,46.024
