Truck_id,Route_id,Origin,Destination,Total Time,PickupSta AT,DropSta AT
Truck-100,Route-100,(425.0 0.0 194.5),(625.0 0.0 0.0),362.336,16.432,40.84
Truck-101,Route-101,(675.0 0.0 55.5),(625.0 0.0 200.0),347.672,6.904,35.704
Truck-102,Route-102,(175.0 0.0 194.5),(125.0 0.0 100.0),356.832,16.408,35.344
Truck-103,Route-103,(675.0 0.0 -5.5),(375.0 0.0 0.0),381,35.752,38.208
Truck-104,Route-104,(425.0 0.0 55.5),(375.0 0.0 50.0),378.008,38.576,34.448
Truck-105,Route-105,(675.0 0.0 105.5),(625.0 0.0 200.0),344.304,6.928,32.352
Truck-106,Route-106,(425.0 0.0 105.5),(375.0 0.0 200.0),344.2,6.96,32.176
Truck-107,Route-107,(675.0 0.0 205.5),(625.0 0.0 50.0),354.744,6.88,42.824
Truck-108,Route-108,(175.0 0.0 55.5),(375.0 0.0 200.0),375.912,6.904,63.96
Truck-109,Route-109,(675.0 0.0 155.5),(375.0 0.0 200.0),339.184,6.88,27.304
Truck-110,Route-110,(175.0 0.0 105.5),(125.0 0.0 50.0),373.416,33.912,34.44
Truck-111,Route-111,(425.0 0.0 -5.5),(375.0 0.0 50.0),380.312,36.544,38.728
Truck-112,Route-112,(175.0 0.0 5.5),(125.0 0.0 200.0),354.928,6.88,43.016
Truck-113,Route-113,(425.0 0.0 155.5),(375.0 0.0 0.0),375.432,29.592,40.864
Truck-114,Route-114,(175.0 0.0 155.5),(625.0 0.0 100.0),398.056,29.696,63.288
Truck-115,Route-115,(175.0 0.0 55.5),(125.0 0.0 100.0),373.376,37.208,31.112
Truck-116,Route-116,(425.0 0.0 155.5),(125.0 0.0 200.0),339.656,6.904,27.664
Truck-117,Route-117,(175.0 0.0 155.5),(125.0 0.0 150.0),361.168,29.656,26.464
Truck-118,Route-118,(425.0 0.0 55.5),(375.0 0.0 150.0),370.208,38.6,26.576
Truck-119,Route-119,(675.0 0.0 -5.5),(125.0 0.0 200.0),379.96,32.56,42.344
