Truck_id,Route_id,Origin,Destination,Total Time,PickupSta AT,DropSta AT
Truck-0,Route-0,(675.0 0.0 -5.5),(125.0 0.0 200.0),380.96,32.672,43.24
Truck-1,Route-1,(175.0 0.0 205.5),(125.0 0.0 50.0),351.352,7.096,39.152
Truck-2,Route-2,(425.0 0.0 5.5),(625.0 0.0 200.0),357.216,7.096,45.048
Truck-3,Route-3,(675.0 0.0 55.5),(125.0 0.0 0.0),405.336,38.648,61.624
Truck-4,Route-4,(175.0 0.0 105.5),(625.0 0.0 200.0),375.568,7.048,63.36
Truck-5,Route-5,(675.0 0.0 205.5),(625.0 0.0 0.0),361.44,6.976,49.368
Truck-6,Route-6,(675.0 0.0 105.5),(375.0 0.0 200.0),362.552,30.328,27.128
Truck-7,Route-7,(675.0 0.0 155.5),(375.0 0.0 200.0),339.704,7.08,27.512
Truck-8,Route-8,(425.0 0.0 194.5),(375.0 0.0 100.0),357.896,16.592,36.24
Truck-9,Route-9,(175.0 0.0 5.5),(125.0 0.0 200.0),355.184,7.104,43.04
Truck-10,Route-10,(175.0 0.0 155.5),(625.0 0.0 100.0),403.032,30.48,67.392
Truck-11,Route-11,(425.0 0.0 155.5),(125.0 0.0 200.0),340.312,7.024,28.16
Truck-12,Route-12,(175.0 0.0 55.5),(375.0 0.0 200.0),362.448,7.072,50.264
Truck-13,Route-13,(425.0 0.0 105.5),(125.0 0.0 200.0),344.288,7.064,32.208
Truck-14,Route-14,(425.0 0.0 55.5),(625.0 0.0 100.0),391.848,38.808,47.936
Truck-15,Route-15,(675.0 0.0 205.5),(625.0 0.0 0.0),356.248,7.144,44
Truck-16,Route-16,(675.0 0.0 55.5),(375.0 0.0 200.0),350.84,6.976,38.768
Truck-17,Route-17,(175.0 0.0 155.5),(625.0 0.0 200.0),374.072,7.128,61.88
Truck-18,Route-18,(425.0 0.0 105.5),(375.0 0.0 50.0),375.544,35.6,34.864
Truck-19,Route-19,(175.0 0.0 194.5),(375.0 0.0 0.0),362.784,16.624,41.128
