Truck_id,Route_id,Pick_station,Drop_station
0,0,"(625, 0, 200)","(625, 0, 100)"
1,1,"(375, 0, 150)","(125, 0, 200)"
2,2,"(625, 0, 200)","(375, 0, 100)"
3,3,"(625, 0, 200)","(375, 0, 0)"
4,4,"(125, 0, 200)","(125, 0, 150)"
5,5,"(375, 0, 200)","(625, 0, 0)"
6,6,"(125, 0, 200)","(125, 0, 100)"
7,7,"(375, 0, 200)","(125, 0, 0)"
8,8,"(125, 0, 200)","(625, 0, 150)"
9,9,"(125, 0, 200)","(375, 0, 0)"
10,10,"(625, 0, 200)","(375, 0, 50)"
11,11,"(125, 0, 100)","(375, 0, 200)"
12,12,"(125, 0, 200)","(375, 0, 0)"
13,13,"(625, 0, 50)","(625, 0, 200)"
14,14,"(375, 0, 200)","(625, 0, 0)"
15,15,"(375, 0, 200)","(125, 0, 50)"
16,16,"(375, 0, 150)","(375, 0, 200)"
17,17,"(625, 0, 200)","(625, 0, 100)"
18,18,"(125, 0, 0)","(125, 0, 200)"
19,19,"(625, 0, 200)","(625, 0, 50)"
20,20,"(125, 0, 150)","(125, 0, 200)"
21,21,"(375, 0, 50)","(375, 0, 200)"
22,22,"(625, 0, 200)","(125, 0, 50)"
23,23,"(125, 0, 50)","(625, 0, 200)"
24,24,"(625, 0, 50)","(375, 0, 200)"
25,25,"(125, 0, 100)","(125, 0, 200)"
26,26,"(625, 0, 0)","(625, 0, 200)"
27,27,"(125, 0, 200)","(125, 0, 150)"
28,28,"(375, 0, 200)","(625, 0, 150)"
29,29,"(375, 0, 100)","(375, 0, 200)"
