Truck_id,Route_id,Pick_station,Drop_station
0,0,"(125, 0, 200)","(125, 0, 150)"
1,1,"(625, 0, 0)","(375, 0, 200)"
2,2,"(625, 0, 200)","(125, 0, 0)"
3,3,"(625, 0, 0)","(375, 0, 200)"
4,4,"(375, 0, 200)","(125, 0, 150)"
5,5,"(625, 0, 100)","(375, 0, 200)"
6,6,"(125, 0, 200)","(375, 0, 0)"
7,7,"(125, 0, 50)","(125, 0, 200)"
8,8,"(125, 0, 150)","(375, 0, 200)"
9,9,"(625, 0, 50)","(125, 0, 200)"
10,10,"(625, 0, 200)","(375, 0, 50)"
11,11,"(375, 0, 50)","(625, 0, 200)"
12,12,"(125, 0, 200)","(125, 0, 100)"
13,13,"(375, 0, 200)","(625, 0, 150)"
14,14,"(375, 0, 150)","(625, 0, 200)"
15,15,"(125, 0, 0)","(625, 0, 200)"
16,16,"(375, 0, 200)","(375, 0, 50)"
17,17,"(125, 0, 100)","(375, 0, 200)"
18,18,"(375, 0, 100)","(625, 0, 200)"
19,19,"(125, 0, 50)","(625, 0, 200)"
20,20,"(125, 0, 200)","(375, 0, 100)"
21,21,"(375, 0, 0)","(625, 0, 200)"
22,22,"(125, 0, 200)","(375, 0, 100)"
23,23,"(625, 0, 0)","(125, 0, 200)"
24,24,"(625, 0, 200)","(125, 0, 100)"
25,25,"(625, 0, 100)","(375, 0, 200)"
26,26,"(625, 0, 150)","(375, 0, 200)"
27,27,"(625, 0, 50)","(375, 0, 200)"
28,28,"(375, 0, 200)","(125, 0, 0)"
29,29,"(375, 0, 150)","(625, 0, 200)"
30,30,"(125, 0, 200)","(375, 0, 0)"
31,31,"(125, 0, 200)","(625, 0, 150)"
32,32,"(125, 0, 200)","(625, 0, 100)"
33,33,"(625, 0, 200)","(625, 0, 50)"
34,34,"(625, 0, 200)","(375, 0, 150)"
