Truck_id,Route_id,Pick_station,Drop_station
0,0,"(375, 0, 50)","(375, 0, 200)"
1,1,"(375, 0, 0)","(625, 0, 200)"
2,2,"(375, 0, 200)","(125, 0, 0)"
3,3,"(625, 0, 200)","(625, 0, 150)"
4,4,"(625, 0, 200)","(625, 0, 100)"
5,5,"(625, 0, 100)","(125, 0, 200)"
6,6,"(375, 0, 0)","(375, 0, 200)"
7,7,"(625, 0, 200)","(375, 0, 150)"
8,8,"(375, 0, 100)","(125, 0, 200)"
9,9,"(125, 0, 100)","(625, 0, 200)"
10,10,"(125, 0, 50)","(625, 0, 200)"
11,11,"(125, 0, 200)","(125, 0, 0)"
12,12,"(125, 0, 200)","(625, 0, 0)"
13,13,"(625, 0, 50)","(375, 0, 200)"
14,14,"(625, 0, 50)","(125, 0, 200)"
15,15,"(125, 0, 200)","(625, 0, 150)"
16,16,"(125, 0, 100)","(375, 0, 200)"
17,17,"(625, 0, 200)","(375, 0, 100)"
18,18,"(125, 0, 200)","(125, 0, 50)"
19,19,"(375, 0, 200)","(125, 0, 150)"
