Truck_id,Route_id,Pick_station,Drop_station
0,0,"(125, 0, 200)","(625, 0, 50)"
1,1,"(375, 0, 0)","(125, 0, 200)"
2,2,"(375, 0, 50)","(625, 0, 200)"
3,3,"(125, 0, 50)","(625, 0, 200)"
4,4,"(375, 0, 100)","(375, 0, 200)"
5,5,"(625, 0, 200)","(625, 0, 100)"
6,6,"(125, 0, 0)","(375, 0, 200)"
7,7,"(625, 0, 150)","(125, 0, 200)"
8,8,"(625, 0, 200)","(125, 0, 150)"
9,9,"(375, 0, 150)","(625, 0, 200)"
10,10,"(125, 0, 100)","(375, 0, 200)"
11,11,"(625, 0, 200)","(375, 0, 50)"
12,12,"(625, 0, 0)","(125, 0, 200)"
13,13,"(375, 0, 200)","(375, 0, 100)"
14,14,"(125, 0, 200)","(625, 0, 150)"
15,15,"(125, 0, 150)","(375, 0, 200)"
16,16,"(375, 0, 0)","(125, 0, 200)"
17,17,"(125, 0, 0)","(125, 0, 200)"
18,18,"(625, 0, 0)","(125, 0, 200)"
19,19,"(625, 0, 200)","(625, 0, 50)"
20,20,"(375, 0, 200)","(375, 0, 100)"
21,21,"(625, 0, 200)","(375, 0, 50)"
22,22,"(625, 0, 100)","(625, 0, 200)"
23,23,"(375, 0, 200)","(125, 0, 50)"
24,24,"(125, 0, 200)","(375, 0, 0)"
25,25,"(125, 0, 50)","(625, 0, 200)"
26,26,"(375, 0, 200)","(375, 0, 150)"
27,27,"(375, 0, 200)","(625, 0, 50)"
28,28,"(125, 0, 200)","(125, 0, 100)"
29,29,"(125, 0, 100)","(375, 0, 200)"
