File_name,Type,Objective_value
prev_Truck_20_LP_40_50_10_1rep.csv, Min,25570
now_Truck_20_LP_40_50_10_1rep.csv, Min,22648
prev_Truck_20_LP_40_50_10_1rep.csv, Middle,37926
now_Truck_20_LP_40_50_10_1rep.csv, Middle,37414
prev_Truck_20_LP_40_50_10_1rep.csv, Max,44443
now_Truck_20_LP_40_50_10_1rep.csv, Max,42684
prev_Truck_20_LP_40_50_10_2rep.csv, Min,21125
now_Truck_20_LP_40_50_10_2rep.csv, Min,23036
prev_Truck_20_LP_40_50_10_2rep.csv, Middle,34422
now_Truck_20_LP_40_50_10_2rep.csv, Middle,34293
prev_Truck_20_LP_40_50_10_2rep.csv, Max,40953
now_Truck_20_LP_40_50_10_2rep.csv, Max,41468
prev_Truck_20_LP_40_50_10_3rep.csv, Min,22379
now_Truck_20_LP_40_50_10_3rep.csv, Min,23557
prev_Truck_20_LP_40_50_10_3rep.csv, Middle,36771
now_Truck_20_LP_40_50_10_3rep.csv, Middle,39863
prev_Truck_20_LP_40_50_10_3rep.csv, Max,43594
now_Truck_20_LP_40_50_10_3rep.csv, Max,46461
prev_Truck_20_LP_40_50_10_4rep.csv, Min,24053
now_Truck_20_LP_40_50_10_4rep.csv, Min,23061
prev_Truck_20_LP_40_50_10_4rep.csv, Middle,38841
now_Truck_20_LP_40_50_10_4rep.csv, Middle,38545
prev_Truck_20_LP_40_50_10_4rep.csv, Max,45174
now_Truck_20_LP_40_50_10_4rep.csv, Max,45739
prev_Truck_20_LP_40_50_10_5rep.csv, Min,24567
now_Truck_20_LP_40_50_10_5rep.csv, Min,21015
prev_Truck_20_LP_40_50_10_5rep.csv, Middle,41059
now_Truck_20_LP_40_50_10_5rep.csv, Middle,37191
prev_Truck_20_LP_40_50_10_5rep.csv, Max,49106
now_Truck_20_LP_40_50_10_5rep.csv, Max,43249
prev_Truck_20_LP_40_50_10_6rep.csv, Min,25028
now_Truck_20_LP_40_50_10_6rep.csv, Min,25602
prev_Truck_20_LP_40_50_10_6rep.csv, Middle,41122
now_Truck_20_LP_40_50_10_6rep.csv, Middle,42241
prev_Truck_20_LP_40_50_10_6rep.csv, Max,49777
now_Truck_20_LP_40_50_10_6rep.csv, Max,46781
prev_Truck_20_LP_40_50_10_7rep.csv, Min,21861
now_Truck_20_LP_40_50_10_7rep.csv, Min,22018
prev_Truck_20_LP_40_50_10_7rep.csv, Middle,37998
now_Truck_20_LP_40_50_10_7rep.csv, Middle,37044
prev_Truck_20_LP_40_50_10_7rep.csv, Max,43463
now_Truck_20_LP_40_50_10_7rep.csv, Max,42010
prev_Truck_20_LP_40_50_10_8rep.csv, Min,25605
now_Truck_20_LP_40_50_10_8rep.csv, Min,19718
prev_Truck_20_LP_40_50_10_8rep.csv, Middle,43019
now_Truck_20_LP_40_50_10_8rep.csv, Middle,34633
prev_Truck_20_LP_40_50_10_8rep.csv, Max,50008
now_Truck_20_LP_40_50_10_8rep.csv, Max,41019
prev_Truck_20_LP_40_50_10_9rep.csv, Min,23330
now_Truck_20_LP_40_50_10_9rep.csv, Min,20173
prev_Truck_20_LP_40_50_10_9rep.csv, Middle,39923
now_Truck_20_LP_40_50_10_9rep.csv, Middle,37250
prev_Truck_20_LP_40_50_10_9rep.csv, Max,47579
now_Truck_20_LP_40_50_10_9rep.csv, Max,44538
prev_Truck_20_LP_40_50_10_10rep.csv, Min,20872
now_Truck_20_LP_40_50_10_10rep.csv, Min,20578
prev_Truck_20_LP_40_50_10_10rep.csv, Middle,39732
now_Truck_20_LP_40_50_10_10rep.csv, Middle,38476
prev_Truck_20_LP_40_50_10_10rep.csv, Max,47559
now_Truck_20_LP_40_50_10_10rep.csv, Max,43755
prev_Truck_20_LP_40_50_10_11rep.csv, Min,21684
now_Truck_20_LP_40_50_10_11rep.csv, Min,22369
prev_Truck_20_LP_40_50_10_11rep.csv, Middle,36900
now_Truck_20_LP_40_50_10_11rep.csv, Middle,36153
prev_Truck_20_LP_40_50_10_11rep.csv, Max,43120
now_Truck_20_LP_40_50_10_11rep.csv, Max,43058
prev_Truck_20_LP_40_50_10_12rep.csv, Min,24287
now_Truck_20_LP_40_50_10_12rep.csv, Min,22267
prev_Truck_20_LP_40_50_10_12rep.csv, Middle,41347
now_Truck_20_LP_40_50_10_12rep.csv, Middle,37211
prev_Truck_20_LP_40_50_10_12rep.csv, Max,48128
now_Truck_20_LP_40_50_10_12rep.csv, Max,45491
prev_Truck_20_LP_40_50_10_13rep.csv, Min,24357
now_Truck_20_LP_40_50_10_13rep.csv, Min,25235
prev_Truck_20_LP_40_50_10_13rep.csv, Middle,40093
now_Truck_20_LP_40_50_10_13rep.csv, Middle,40619
prev_Truck_20_LP_40_50_10_13rep.csv, Max,46671
now_Truck_20_LP_40_50_10_13rep.csv, Max,48897
prev_Truck_20_LP_40_50_10_14rep.csv, Min,26030
now_Truck_20_LP_40_50_10_14rep.csv, Min,22761
prev_Truck_20_LP_40_50_10_14rep.csv, Middle,42430
now_Truck_20_LP_40_50_10_14rep.csv, Middle,36941
prev_Truck_20_LP_40_50_10_14rep.csv, Max,49247
now_Truck_20_LP_40_50_10_14rep.csv, Max,44119
prev_Truck_20_LP_40_50_10_15rep.csv, Min,24123
now_Truck_20_LP_40_50_10_15rep.csv, Min,24308
prev_Truck_20_LP_40_50_10_15rep.csv, Middle,34865
now_Truck_20_LP_40_50_10_15rep.csv, Middle,39511
prev_Truck_20_LP_40_50_10_15rep.csv, Max,40838
now_Truck_20_LP_40_50_10_15rep.csv, Max,47181
prev_Truck_20_LP_40_50_10_16rep.csv, Min,23924
now_Truck_20_LP_40_50_10_16rep.csv, Min,20322
prev_Truck_20_LP_40_50_10_16rep.csv, Middle,38565
now_Truck_20_LP_40_50_10_16rep.csv, Middle,36283
prev_Truck_20_LP_40_50_10_16rep.csv, Max,46068
now_Truck_20_LP_40_50_10_16rep.csv, Max,41266
prev_Truck_20_LP_40_50_10_17rep.csv, Min,22542
now_Truck_20_LP_40_50_10_17rep.csv, Min,20226
prev_Truck_20_LP_40_50_10_17rep.csv, Middle,38222
now_Truck_20_LP_40_50_10_17rep.csv, Middle,34186
prev_Truck_20_LP_40_50_10_17rep.csv, Max,45536
now_Truck_20_LP_40_50_10_17rep.csv, Max,39794
prev_Truck_20_LP_40_50_10_18rep.csv, Min,26078
now_Truck_20_LP_40_50_10_18rep.csv, Min,24013
prev_Truck_20_LP_40_50_10_18rep.csv, Middle,36127
now_Truck_20_LP_40_50_10_18rep.csv, Middle,39791
prev_Truck_20_LP_40_50_10_18rep.csv, Max,41630
now_Truck_20_LP_40_50_10_18rep.csv, Max,47978
prev_Truck_20_LP_40_50_10_19rep.csv, Min,27298
now_Truck_20_LP_40_50_10_19rep.csv, Min,22102
prev_Truck_20_LP_40_50_10_19rep.csv, Middle,40355
now_Truck_20_LP_40_50_10_19rep.csv, Middle,36331
prev_Truck_20_LP_40_50_10_19rep.csv, Max,47710
now_Truck_20_LP_40_50_10_19rep.csv, Max,44835
prev_Truck_20_LP_40_50_10_20rep.csv, Min,23865
now_Truck_20_LP_40_50_10_20rep.csv, Min,19611
prev_Truck_20_LP_40_50_10_20rep.csv, Middle,37708
now_Truck_20_LP_40_50_10_20rep.csv, Middle,33296
prev_Truck_20_LP_40_50_10_20rep.csv, Max,43890
now_Truck_20_LP_40_50_10_20rep.csv, Max,41181
