Truck_id,Route_id,Origin,Destination,Total Time,PickupSta AT,DropSta AT
Truck-13,Route-13,(675.0 0.0 155.5),(625.0 0.0 200.0),343.808,8.192,30.608
Truck-19,Route-19,(425.0 0.0 155.5),(375.0 0.0 200.0),348.984,11.056,32.92
Truck-12,Route-12,(675.0 0.0 105.5),(625.0 0.0 200.0),354.264,8.192,41.056
Truck-0,Route-0,(675.0 0.0 205.5),(625.0 0.0 0.0),356.912,8.224,43.68
Truck-5,Route-5,(425.0 0.0 155.5),(625.0 0.0 200.0),359.8,8.208,46.592
Truck-21,Route-21,(675.0 0.0 205.5),(375.0 0.0 150.0),360.824,11.064,35.76
Truck-26,Route-26,(675.0 0.0 55.5),(375.0 0.0 200.0),366.288,11.048,50.232
Truck-8,Route-8,(175.0 0.0 205.5),(125.0 0.0 50.0),367.592,8.2,54.392
Truck-29,Route-29,(425.0 0.0 105.5),(125.0 0.0 200.0),372.752,10.96,56.808
Truck-10,Route-10,(425.0 0.0 205.5),(375.0 0.0 50.0),374.968,8.2,61.76
Truck-17,Route-17,(425.0 0.0 205.5),(125.0 0.0 100.0),375.144,11.048,50.096
Truck-15,Route-15,(675.0 0.0 5.5),(375.0 0.0 200.0),377.392,10.96,52.432
Truck-7,Route-7,(175.0 0.0 155.5),(375.0 0.0 200.0),378.216,8.2,65
Truck-16,Route-16,(175.0 0.0 55.5),(125.0 0.0 200.0),387.696,11.048,65.624
Truck-23,Route-23,(175.0 0.0 5.5),(625.0 0.0 200.0),392.536,10.968,70.576
Truck-20,Route-20,(425.0 0.0 5.5),(375.0 0.0 200.0),395,8.184,81.8
Truck-4,Route-4,(425.0 0.0 -5.5),(375.0 0.0 50.0),396.584,38.096,50.472
Truck-3,Route-3,(675.0 0.0 5.5),(625.0 0.0 0.0),407.12,48.512,53.592
Truck-22,Route-22,(175.0 0.0 205.5),(375.0 0.0 100.0),407.992,11.056,82.936
Truck-1,Route-1,(175.0 0.0 5.5),(125.0 0.0 0.0),410.824,43.392,44.424
Truck-18,Route-18,(675.0 0.0 105.5),(375.0 0.0 0.0),421.52,42.488,59.024
Truck-25,Route-25,(675.0 0.0 155.5),(125.0 0.0 200.0),428.96,11.04,106.912
Truck-9,Route-9,(675.0 0.0 55.5),(125.0 0.0 200.0),435.032,8.2,121.816
Truck-2,Route-2,(175.0 0.0 105.5),(625.0 0.0 100.0),436.608,35.8,95.784
Truck-6,Route-6,(425.0 0.0 105.5),(625.0 0.0 50.0),447.88,36.864,103.016
Truck-27,Route-27,(175.0 0.0 105.5),(375.0 0.0 200.0),451.256,10.96,126.296
Truck-14,Route-14,(425.0 0.0 55.5),(625.0 0.0 150.0),451.36,42.656,97.696
Truck-28,Route-28,(175.0 0.0 155.5),(625.0 0.0 200.0),456.112,11.056,134.056
Truck-24,Route-24,(425.0 0.0 55.5),(375.0 0.0 200.0),456.72,41.12,110.576
Truck-11,Route-11,(175.0 0.0 55.5),(625.0 0.0 200.0),461.544,8.192,148.352
Truck-101,Route-101,(175.0 0.0 105.5),(125.0 0.0 200.0),345.288,7.056,33.232
Truck-108,Route-108,(425.0 0.0 55.5),(375.0 0.0 200.0),351.64,7.048,39.6
Truck-100,Route-100,(675.0 0.0 155.5),(625.0 0.0 200.0),353.48,7.056,41.424
Truck-113,Route-113,(175.0 0.0 155.5),(375.0 0.0 200.0),358.672,7.04,46.64
Truck-110,Route-110,(175.0 0.0 5.5),(125.0 0.0 200.0),359.36,7.048,47.32
Truck-107,Route-107,(675.0 0.0 5.5),(625.0 0.0 200.0),359.864,7.048,47.808
Truck-105,Route-105,(675.0 0.0 205.5),(375.0 0.0 50.0),365.104,7.056,53.056
Truck-109,Route-109,(675.0 0.0 105.5),(375.0 0.0 200.0),365.272,7.048,53.232
Truck-116,Route-116,(175.0 0.0 105.5),(375.0 0.0 200.0),365.704,9.984,50.704
Truck-112,Route-112,(425.0 0.0 194.5),(375.0 0.0 150.0),371.296,16.84,49.456
Truck-104,Route-104,(175.0 0.0 55.5),(375.0 0.0 200.0),374.528,7.056,62.472
Truck-102,Route-102,(425.0 0.0 5.5),(375.0 0.0 200.0),377.648,7.056,65.584
Truck-117,Route-117,(675.0 0.0 5.5),(125.0 0.0 200.0),386.28,9.984,62.28
Truck-103,Route-103,(675.0 0.0 55.5),(625.0 0.0 150.0),396.4,58.896,32.504
Truck-118,Route-118,(675.0 0.0 205.5),(125.0 0.0 0.0),405.864,9.984,90.864
Truck-111,Route-111,(175.0 0.0 205.5),(625.0 0.0 100.0),407.512,7.048,95.488
Truck-115,Route-115,(425.0 0.0 105.5),(125.0 0.0 150.0),431.608,93.096,33.512
Truck-106,Route-106,(425.0 0.0 155.5),(625.0 0.0 50.0),438.736,48.464,82.264
Truck-114,Route-114,(425.0 0.0 105.5),(375.0 0.0 100.0),446.232,72.104,69.136
Truck-119,Route-119,(175.0 0.0 155.5),(625.0 0.0 50.0),451.928,67.968,78.952
