Truck_id,Route_id,Origin,Destination,Total Time,PickupSta AT,DropSta AT
Truck-8,Route-8,(425.0 0.0 205.5),(375.0 0.0 150.0),346.832,7.484,34.08
Truck-1,Route-1,(675.0 0.0 205.5),(625.0 0.0 0.0),353.932,7.488,41.184
Truck-29,Route-29,(675.0 0.0 5.5),(625.0 0.0 200.0),364.728,11.828,47.6
Truck-5,Route-5,(675.0 0.0 155.5),(125.0 0.0 200.0),369.688,7.484,56.944
Truck-19,Route-19,(175.0 0.0 205.5),(125.0 0.0 100.0),372.144,10.484,51.364
Truck-20,Route-20,(675.0 0.0 155.5),(625.0 0.0 150.0),373.184,38.576,28.624
Truck-18,Route-18,(675.0 0.0 205.5),(375.0 0.0 100.0),370.408,11.236,51.084
Truck-12,Route-12,(175.0 0.0 55.5),(375.0 0.0 200.0),381.188,7.484,68.44
Truck-25,Route-25,(425.0 0.0 205.5),(375.0 0.0 100.0),378.484,11.232,55.16
Truck-6,Route-6,(425.0 0.0 105.5),(125.0 0.0 200.0),383.588,10.556,66.768
Truck-24,Route-24,(425.0 0.0 205.5),(625.0 0.0 50.0),384.664,10.552,66.844
Truck-15,Route-15,(175.0 0.0 105.5),(125.0 0.0 200.0),394.512,62.5,27.032
Truck-16,Route-16,(425.0 0.0 205.5),(125.0 0.0 50.0),395.492,10.46,54.76
Truck-13,Route-13,(175.0 0.0 205.5),(375.0 0.0 100.0),395.612,7.48,82.868
Truck-14,Route-14,(675.0 0.0 205.5),(375.0 0.0 0.0),396.736,10.492,67.972
Truck-2,Route-2,(425.0 0.0 105.5),(625.0 0.0 200.0),399.332,7.488,86.584
Truck-10,Route-10,(675.0 0.0 105.5),(375.0 0.0 200.0),400.612,23.84,71.784
Truck-9,Route-9,(675.0 0.0 5.5),(375.0 0.0 200.0),405.236,7.484,92.48
Truck-21,Route-21,(675.0 0.0 105.5),(375.0 0.0 200.0),413.848,28.84,78.024
Truck-22,Route-22,(675.0 0.0 155.5),(125.0 0.0 200.0),415.008,12.164,97.72
Truck-17,Route-17,(675.0 0.0 205.5),(125.0 0.0 0.0),419.604,10.58,90.764
Truck-4,Route-4,(425.0 0.0 105.5),(625.0 0.0 200.0),427.888,10.464,111.16
Truck-11,Route-11,(675.0 0.0 5.5),(375.0 0.0 200.0),438.048,34.884,98.176
Truck-0,Route-0,(175.0 0.0 105.5),(125.0 0.0 200.0),440.576,36.248,99.34
Truck-3,Route-3,(175.0 0.0 155.5),(625.0 0.0 200.0),442.772,7.484,130.02
Truck-26,Route-26,(675.0 0.0 105.5),(375.0 0.0 200.0),445.788,66.536,74.264
Truck-7,Route-7,(675.0 0.0 155.5),(375.0 0.0 100.0),453.188,37.08,107.12
Truck-27,Route-27,(675.0 0.0 105.5),(625.0 0.0 200.0),451.016,72.284,73.74
Truck-28,Route-28,(175.0 0.0 105.5),(375.0 0.0 150.0),454.848,42,106.856
Truck-23,Route-23,(425.0 0.0 55.5),(625.0 0.0 200.0),461.344,34.9,121.456
Truck-114,Route-114,(675.0 0.0 155.5),(625.0 0.0 200.0),339.9,7.016,27.9
Truck-113,Route-113,(175.0 0.0 55.5),(125.0 0.0 200.0),348.484,7.02,36.484
Truck-102,Route-102,(675.0 0.0 205.5),(625.0 0.0 0.0),353.408,7.024,41.404
Truck-108,Route-108,(175.0 0.0 5.5),(125.0 0.0 200.0),355.688,7.024,43.688
Truck-106,Route-106,(675.0 0.0 205.5),(375.0 0.0 150.0),354.86,10.54,32.348
Truck-116,Route-116,(675.0 0.0 5.5),(625.0 0.0 200.0),359.18,7.016,47.184
Truck-101,Route-101,(425.0 0.0 155.5),(625.0 0.0 200.0),361.748,7.024,49.748
Truck-100,Route-100,(675.0 0.0 105.5),(125.0 0.0 200.0),365.868,23.152,37.728
Truck-104,Route-104,(675.0 0.0 205.5),(125.0 0.0 150.0),368.884,10.004,46.904
Truck-122,Route-122,(175.0 0.0 205.5),(375.0 0.0 100.0),375.244,10,55.26
Truck-103,Route-103,(175.0 0.0 155.5),(625.0 0.0 200.0),375.848,7.024,63.844
Truck-112,Route-112,(425.0 0.0 5.5),(125.0 0.0 200.0),377.54,41.056,31.5
Truck-117,Route-117,(175.0 0.0 5.5),(625.0 0.0 200.0),380.484,10.004,60.504
Truck-109,Route-109,(175.0 0.0 205.5),(625.0 0.0 50.0),385.504,7.02,73.512
Truck-111,Route-111,(425.0 0.0 205.5),(125.0 0.0 50.0),390.104,43.508,41.608
Truck-125,Route-125,(675.0 0.0 5.5),(375.0 0.0 200.0),392.836,36.308,51.548
Truck-129,Route-129,(425.0 0.0 205.5),(125.0 0.0 100.0),354.148,11.924,37.248
Truck-107,Route-107,(675.0 0.0 105.5),(375.0 0.0 100.0),395.628,50.212,39.424
Truck-118,Route-118,(425.0 0.0 55.5),(125.0 0.0 0.0),405.476,47.436,53.064
Truck-119,Route-119,(675.0 0.0 155.5),(125.0 0.0 50.0),406.016,34.912,65.124
Truck-105,Route-105,(175.0 0.0 155.5),(625.0 0.0 0.0),412.584,35.104,72.504
Truck-123,Route-123,(675.0 0.0 155.5),(125.0 0.0 50.0),421.18,79.952,36.248
Truck-120,Route-120,(675.0 0.0 55.5),(625.0 0.0 50.0),433.5,65.968,62.544
Truck-127,Route-127,(675.0 0.0 55.5),(625.0 0.0 200.0),432.32,52.204,75.12
Truck-110,Route-110,(425.0 0.0 205.5),(375.0 0.0 0.0),436.124,79.736,51.404
Truck-115,Route-115,(425.0 0.0 205.5),(375.0 0.0 150.0),410.204,57.884,47.336
Truck-124,Route-124,(675.0 0.0 155.5),(375.0 0.0 0.0),465.52,114.652,45.88
Truck-126,Route-126,(675.0 0.0 55.5),(625.0 0.0 0.0),478.576,115.352,58.244
Truck-128,Route-128,(675.0 0.0 55.5),(375.0 0.0 100.0),485.244,129.232,51.024
Truck-121,Route-121,(675.0 0.0 105.5),(625.0 0.0 100.0),494.4,120.052,68.368
