Truck_id,Route_id,Origin,Destination,Total Time,PickupSta AT,DropSta AT
Truck-8,Route-8,(425.0 0.0 205.5),(375.0 0.0 150.0),346.776,7.728,34.068
Truck-1,Route-1,(675.0 0.0 205.5),(625.0 0.0 0.0),354.072,7.732,41.364
Truck-29,Route-29,(675.0 0.0 5.5),(625.0 0.0 200.0),362.544,11.852,45.696
Truck-6,Route-6,(425.0 0.0 105.5),(125.0 0.0 200.0),363.488,10.56,46.944
Truck-19,Route-19,(175.0 0.0 205.5),(125.0 0.0 100.0),366.784,10.644,46.164
Truck-20,Route-20,(675.0 0.0 155.5),(625.0 0.0 150.0),370.016,38.108,26.908
Truck-18,Route-18,(675.0 0.0 205.5),(375.0 0.0 100.0),368.208,10.756,49.468
Truck-12,Route-12,(175.0 0.0 55.5),(375.0 0.0 200.0),377.952,7.724,65.248
Truck-5,Route-5,(675.0 0.0 155.5),(125.0 0.0 200.0),383.772,7.728,71.06
Truck-24,Route-24,(425.0 0.0 205.5),(625.0 0.0 50.0),382.064,10.56,64.504
Truck-9,Route-9,(675.0 0.0 5.5),(375.0 0.0 200.0),389.452,7.728,76.744
Truck-14,Route-14,(675.0 0.0 205.5),(375.0 0.0 0.0),392.576,10.652,63.936
Truck-10,Route-10,(675.0 0.0 105.5),(375.0 0.0 200.0),392.688,23.816,63.892
Truck-25,Route-25,(425.0 0.0 205.5),(375.0 0.0 100.0),386.784,10.78,64.004
Truck-2,Route-2,(425.0 0.0 105.5),(625.0 0.0 200.0),394.452,7.728,81.748
Truck-15,Route-15,(175.0 0.0 105.5),(125.0 0.0 200.0),394.576,62.504,27.076
Truck-13,Route-13,(175.0 0.0 205.5),(375.0 0.0 100.0),405.528,7.72,92.824
Truck-11,Route-11,(675.0 0.0 5.5),(375.0 0.0 200.0),408.448,32.2,71.268
Truck-4,Route-4,(425.0 0.0 105.5),(625.0 0.0 200.0),413.396,10.664,96.744
Truck-7,Route-7,(675.0 0.0 155.5),(375.0 0.0 100.0),415.408,37.144,70.284
Truck-26,Route-26,(675.0 0.0 105.5),(375.0 0.0 200.0),416.352,68.384,42.968
Truck-21,Route-21,(675.0 0.0 105.5),(375.0 0.0 200.0),420.028,28.88,86.168
Truck-17,Route-17,(675.0 0.0 205.5),(125.0 0.0 0.0),418.504,10.56,89.964
Truck-3,Route-3,(175.0 0.0 155.5),(625.0 0.0 200.0),424.088,7.728,111.364
Truck-22,Route-22,(675.0 0.0 155.5),(125.0 0.0 200.0),419.492,11.8,97.7
Truck-16,Route-16,(425.0 0.0 205.5),(125.0 0.0 50.0),426.732,10.664,86.084
Truck-27,Route-27,(675.0 0.0 105.5),(625.0 0.0 200.0),422.256,71.768,42.504
Truck-23,Route-23,(425.0 0.0 55.5),(625.0 0.0 200.0),436.184,35.02,96.176
Truck-28,Route-28,(175.0 0.0 105.5),(375.0 0.0 150.0),433.108,41.56,85.568
Truck-0,Route-0,(175.0 0.0 105.5),(125.0 0.0 200.0),442.9,36.248,101.656
Truck-110,Route-110,(425.0 0.0 205.5),(125.0 0.0 50.0),347.92,7.02,35.908
Truck-124,Route-124,(675.0 0.0 155.5),(625.0 0.0 200.0),343.32,10.008,28.312
Truck-111,Route-111,(425.0 0.0 205.5),(125.0 0.0 100.0),351.72,9.98,36.744
Truck-112,Route-112,(425.0 0.0 5.5),(375.0 0.0 200.0),359.56,7.02,47.568
Truck-125,Route-125,(675.0 0.0 5.5),(625.0 0.0 200.0),362.2,9.8,47.412
Truck-104,Route-104,(675.0 0.0 205.5),(125.0 0.0 150.0),363.144,10.008,48.148
Truck-106,Route-106,(675.0 0.0 205.5),(625.0 0.0 0.0),360.6,10.508,43.092
Truck-118,Route-118,(425.0 0.0 55.5),(125.0 0.0 200.0),363.616,23.128,35.508
Truck-115,Route-115,(425.0 0.0 205.5),(125.0 0.0 50.0),361.856,10.504,45.36
Truck-117,Route-117,(175.0 0.0 5.5),(125.0 0.0 200.0),366.2,10.004,44.204
Truck-102,Route-102,(675.0 0.0 205.5),(125.0 0.0 50.0),368.968,7.028,56.968
Truck-108,Route-108,(175.0 0.0 5.5),(625.0 0.0 200.0),370.904,7.024,58.908
Truck-103,Route-103,(175.0 0.0 155.5),(625.0 0.0 200.0),378.308,7.024,66.288
Truck-109,Route-109,(175.0 0.0 205.5),(625.0 0.0 0.0),378.984,7.024,66.988
Truck-129,Route-129,(425.0 0.0 205.5),(625.0 0.0 50.0),376.208,10.732,58.492
Truck-101,Route-101,(425.0 0.0 155.5),(375.0 0.0 0.0),382.928,32.364,43.584
Truck-122,Route-122,(175.0 0.0 205.5),(375.0 0.0 100.0),384.38,9.98,64.428
Truck-116,Route-116,(675.0 0.0 5.5),(125.0 0.0 200.0),388.16,51.86,31.308
Truck-119,Route-119,(675.0 0.0 155.5),(375.0 0.0 150.0),389.94,47.572,37.38
Truck-113,Route-113,(175.0 0.0 55.5),(625.0 0.0 200.0),391.84,7.02,79.844
Truck-105,Route-105,(175.0 0.0 155.5),(375.0 0.0 150.0),394.204,34.968,46.24
Truck-120,Route-120,(675.0 0.0 55.5),(625.0 0.0 200.0),396.08,47.34,43.744
Truck-126,Route-126,(675.0 0.0 55.5),(375.0 0.0 100.0),415.9,72.484,37.424
Truck-127,Route-127,(675.0 0.0 55.5),(375.0 0.0 0.0),438.56,84.696,48.884
Truck-128,Route-128,(675.0 0.0 55.5),(125.0 0.0 200.0),437.716,100.168,32.568
Truck-121,Route-121,(675.0 0.0 105.5),(125.0 0.0 0.0),459.26,116.608,37.664
Truck-123,Route-123,(675.0 0.0 155.5),(375.0 0.0 100.0),461.596,101.652,50.964
Truck-114,Route-114,(675.0 0.0 155.5),(625.0 0.0 50.0),469.34,91.756,72.604
Truck-100,Route-100,(675.0 0.0 105.5),(625.0 0.0 100.0),471.472,97.776,66.7
Truck-107,Route-107,(675.0 0.0 105.5),(625.0 0.0 0.0),489.628,125.332,59.308
