Truck_id,Route_id,Origin,Destination,Total Time,PickupSta AT,DropSta AT
Truck-0,Route-0,(175.0 0.0 55.5),(125.0 0.0 200.0),353.048,8.872,39.096
Truck-1,Route-1,(675.0 0.0 155.5),(625.0 0.0 50.0),374.768,30.376,39.32
Truck-2,Route-2,(425.0 0.0 155.5),(125.0 0.0 100.0),371.992,30.336,36.624
Truck-3,Route-3,(675.0 0.0 5.5),(125.0 0.0 200.0),374.552,36.008,33.504
Truck-4,Route-4,(425.0 0.0 55.5),(625.0 0.0 100.0),396.816,40.312,51.44
Truck-5,Route-5,(675.0 0.0 105.5),(625.0 0.0 200.0),348.96,7.176,36.712
Truck-6,Route-6,(175.0 0.0 194.5),(125.0 0.0 100.0),358.472,16.904,36.472
Truck-7,Route-7,(675.0 0.0 205.5),(125.0 0.0 150.0),355.376,7.104,43.192
Truck-8,Route-8,(425.0 0.0 105.5),(625.0 0.0 200.0),364.304,7.16,52.072
Truck-9,Route-9,(425.0 0.0 205.5),(375.0 0.0 50.0),352.4,7.192,40.144
Truck-10,Route-10,(675.0 0.0 55.5),(125.0 0.0 200.0),371.552,7.12,59.4
Truck-11,Route-11,(425.0 0.0 -5.5),(625.0 0.0 0.0),384.128,37.128,41.944
Truck-12,Route-12,(175.0 0.0 5.5),(375.0 0.0 200.0),357.648,7.072,45.504
Truck-13,Route-13,(175.0 0.0 105.5),(375.0 0.0 0.0),379.256,34.48,39.728
Truck-14,Route-14,(175.0 0.0 155.5),(625.0 0.0 150.0),396.904,31.144,60.664
Truck-15,Route-15,(175.0 0.0 -5.5),(375.0 0.0 200.0),366.648,16.944,44.656
Truck-16,Route-16,(425.0 0.0 -5.5),(125.0 0.0 150.0),390.672,37.584,48.048
Truck-17,Route-17,(425.0 0.0 155.5),(125.0 0.0 200.0),342.776,7.208,30.496
Truck-18,Route-18,(175.0 0.0 55.5),(125.0 0.0 200.0),351.808,7.128,39.584
Truck-19,Route-19,(675.0 0.0 5.5),(625.0 0.0 200.0),357.416,7.144,45.2
