Truck_id,Route_id,Origin,Destination,Total Time,PickupSta AT,DropSta AT
Truck-0,Route-0,(175.0 0.0 -5.5),(375.0 0.0 150.0),373.336,38.216,29.416
Truck-1,Route-1,(675.0 0.0 105.5),(625.0 0.0 0.0),383.568,38.68,39.528
Truck-2,Route-2,(425.0 0.0 205.5),(125.0 0.0 150.0),342.808,7.824,29.656
Truck-3,Route-3,(425.0 0.0 105.5),(125.0 0.0 200.0),350.152,8.104,36.72
Truck-4,Route-4,(175.0 0.0 55.5),(625.0 0.0 150.0),406.432,40.912,59.976
Truck-5,Route-5,(675.0 0.0 55.5),(125.0 0.0 0.0),414.048,43.56,65.104
Truck-6,Route-6,(675.0 0.0 5.5),(625.0 0.0 150.0),379.648,45.28,29.008
Truck-7,Route-7,(175.0 0.0 155.5),(625.0 0.0 200.0),372.928,7.8,59.728
Truck-8,Route-8,(425.0 0.0 -5.5),(125.0 0.0 50.0),403.8,41.592,57.048
Truck-9,Route-9,(175.0 0.0 105.5),(625.0 0.0 200.0),379.64,8.072,66.44
Truck-10,Route-10,(675.0 0.0 155.5),(125.0 0.0 200.0),358.6,8.032,45.136
Truck-11,Route-11,(175.0 0.0 205.5),(625.0 0.0 50.0),388.84,7.656,75.904
Truck-12,Route-12,(425.0 0.0 55.5),(375.0 0.0 0.0),388.936,42,41.52
Truck-13,Route-13,(425.0 0.0 155.5),(375.0 0.0 150.0),366.848,34.44,26.848
Truck-14,Route-14,(675.0 0.0 205.5),(625.0 0.0 0.0),363.912,7.92,50.688
Truck-15,Route-15,(675.0 0.0 205.5),(375.0 0.0 50.0),350.32,7.648,37.064
Truck-16,Route-16,(175.0 0.0 155.5),(625.0 0.0 200.0),375.24,8.104,61.976
Truck-17,Route-17,(675.0 0.0 5.5),(375.0 0.0 50.0),394.936,46.224,43.36
Truck-18,Route-18,(425.0 0.0 55.5),(125.0 0.0 200.0),352.944,8,39.4
Truck-19,Route-19,(675.0 0.0 105.5),(375.0 0.0 200.0),351.8,7.704,38.632
Truck-20,Route-20,(175.0 0.0 5.5),(625.0 0.0 200.0),376.952,7.992,63.512
Truck-21,Route-21,(425.0 0.0 5.5),(375.0 0.0 200.0),363.28,8.064,49.872
Truck-22,Route-22,(675.0 0.0 155.5),(125.0 0.0 100.0),392.208,31.704,55.112
Truck-23,Route-23,(175.0 0.0 55.5),(125.0 0.0 200.0),353.568,7.672,40.424
Truck-24,Route-24,(425.0 0.0 155.5),(375.0 0.0 200.0),345.032,7.68,32.2
Truck-25,Route-25,(425.0 0.0 105.5),(125.0 0.0 200.0),349.824,7.664,36.736
Truck-26,Route-26,(425.0 0.0 205.5),(125.0 0.0 0.0),355.464,7.728,42.328
Truck-27,Route-27,(175.0 0.0 205.5),(625.0 0.0 100.0),387.496,7.976,74.184
Truck-28,Route-28,(175.0 0.0 105.5),(625.0 0.0 50.0),411.44,38.624,67.384
Truck-29,Route-29,(675.0 0.0 55.5),(625.0 0.0 200.0),353.424,8.096,40
Truck-30,Route-30,(175.0 0.0 155.5),(125.0 0.0 200.0),343.976,7.992,30.672
Truck-31,Route-31,(425.0 0.0 105.5),(125.0 0.0 200.0),348.224,7.72,34.928
Truck-32,Route-32,(675.0 0.0 105.5),(625.0 0.0 100.0),399.416,39.44,54.664
Truck-33,Route-33,(675.0 0.0 155.5),(125.0 0.0 200.0),360.48,7.696,47.176
Truck-34,Route-34,(675.0 0.0 55.5),(125.0 0.0 50.0),383.44,41.12,36.968
Truck-35,Route-35,(675.0 0.0 205.5),(625.0 0.0 100.0),357.76,7.696,44.488
Truck-36,Route-36,(425.0 0.0 155.5),(125.0 0.0 200.0),343.52,7.672,30.648
Truck-37,Route-37,(425.0 0.0 205.5),(125.0 0.0 100.0),350.048,7.984,36.304
Truck-38,Route-38,(175.0 0.0 5.5),(375.0 0.0 200.0),362.96,8.08,49.44
Truck-39,Route-39,(675.0 0.0 5.5),(375.0 0.0 200.0),354.608,7.672,41.456
Truck-40,Route-40,(425.0 0.0 55.5),(625.0 0.0 200.0),370.656,8.016,57.04
Truck-41,Route-41,(175.0 0.0 55.5),(375.0 0.0 200.0),368.44,8.04,55.024
Truck-42,Route-42,(425.0 0.0 5.5),(375.0 0.0 200.0),371.568,7.648,58.688
Truck-43,Route-43,(175.0 0.0 105.5),(625.0 0.0 0.0),401.128,40.256,55.216
Truck-44,Route-44,(175.0 0.0 205.5),(625.0 0.0 50.0),389.648,8.008,76.072
