Truck_id,Route_id,Origin,Destination,Total Time,PickupSta AT,DropSta AT
Truck-4,Route-4,(425.0 0.0 155.5),(375.0 0.0 200.0),345.328,9.432,30.832
Truck-11,Route-11,(175.0 0.0 205.5),(125.0 0.0 150.0),347.328,9.416,32.824
Truck-8,Route-8,(175.0 0.0 105.5),(125.0 0.0 200.0),348.744,9.424,34.248
Truck-17,Route-17,(425.0 0.0 155.5),(125.0 0.0 200.0),351.12,12.272,33.792
Truck-10,Route-10,(675.0 0.0 105.5),(625.0 0.0 200.0),356.864,9.424,42.368
Truck-39,Route-39,(675.0 0.0 205.5),(625.0 0.0 150.0),353.608,10.488,36.024
Truck-22,Route-22,(425.0 0.0 105.5),(375.0 0.0 200.0),360.12,12.192,42.88
Truck-14,Route-14,(425.0 0.0 205.5),(375.0 0.0 150.0),362.552,9.416,48.056
Truck-9,Route-9,(175.0 0.0 155.5),(375.0 0.0 200.0),365.536,9.424,51.04
Truck-0,Route-0,(425.0 0.0 5.5),(625.0 0.0 200.0),366.08,9.448,51.592
Truck-20,Route-20,(175.0 0.0 205.5),(125.0 0.0 150.0),370.088,12.248,47.784
Truck-26,Route-26,(675.0 0.0 205.5),(375.0 0.0 0.0),371.064,12.248,52.72
Truck-1,Route-1,(425.0 0.0 55.5),(125.0 0.0 200.0),371.992,9.44,57.48
Truck-25,Route-25,(425.0 0.0 194.5),(625.0 0.0 50.0),373.712,19.12,42.512
Truck-36,Route-36,(675.0 0.0 5.5),(375.0 0.0 200.0),372.488,10.096,57.36
Truck-37,Route-37,(425.0 0.0 205.5),(625.0 0.0 0.0),383.384,12.248,61.056
Truck-38,Route-38,(425.0 0.0 5.5),(375.0 0.0 200.0),393.272,12.28,70.904
Truck-31,Route-31,(425.0 0.0 105.5),(625.0 0.0 0.0),393.888,41.248,45.6
Truck-12,Route-12,(675.0 0.0 205.5),(125.0 0.0 150.0),399.2,9.416,84.72
Truck-5,Route-5,(425.0 0.0 105.5),(125.0 0.0 50.0),400.52,37.368,55.056
Truck-2,Route-2,(675.0 0.0 155.5),(125.0 0.0 0.0),407.904,32.552,70.248
Truck-33,Route-33,(675.0 0.0 155.5),(125.0 0.0 200.0),404.544,10.104,89.328
Truck-3,Route-3,(175.0 0.0 -5.5),(375.0 0.0 100.0),410.288,41.528,53.68
Truck-6,Route-6,(175.0 0.0 55.5),(125.0 0.0 0.0),412.384,46.664,60.648
Truck-23,Route-23,(425.0 0.0 -5.5),(125.0 0.0 50.0),416.656,43.064,68.536
Truck-34,Route-34,(175.0 0.0 -5.5),(375.0 0.0 100.0),413.664,50.536,58.056
Truck-7,Route-7,(675.0 0.0 55.5),(125.0 0.0 200.0),419.8,9.432,105.232
Truck-13,Route-13,(675.0 0.0 5.5),(375.0 0.0 50.0),420.656,47.4,62.184
Truck-29,Route-29,(675.0 0.0 155.5),(625.0 0.0 200.0),422.728,31.04,86.648
Truck-16,Route-16,(175.0 0.0 155.5),(375.0 0.0 100.0),426.96,38.672,83.192
Truck-27,Route-27,(425.0 0.0 55.5),(625.0 0.0 200.0),428.24,12.272,110.92
Truck-24,Route-24,(175.0 0.0 -5.5),(125.0 0.0 0.0),429.304,50.648,63.464
Truck-19,Route-19,(675.0 0.0 5.5),(125.0 0.0 50.0),444.968,52.056,75.848
Truck-15,Route-15,(675.0 0.0 105.5),(125.0 0.0 200.0),454.512,12.256,136.184
Truck-35,Route-35,(175.0 0.0 105.5),(375.0 0.0 200.0),454.152,10.424,137.664
Truck-32,Route-32,(175.0 0.0 155.5),(625.0 0.0 150.0),454.456,38.056,104.36
Truck-18,Route-18,(675.0 0.0 55.5),(125.0 0.0 200.0),472.12,12.264,154.76
Truck-21,Route-21,(175.0 0.0 105.5),(625.0 0.0 200.0),472.344,12.256,154.008
Truck-30,Route-30,(675.0 0.0 105.5),(125.0 0.0 200.0),477.784,10.496,161.192
