Truck_id,Route_id,Origin,Destination,Total Time,PickupSta AT,DropSta AT
Truck-11,Route-11,(675.0 0.0 155.5),(375.0 0.0 200.0),345.332,8.416,31.884
Truck-21,Route-21,(425.0 0.0 155.5),(375.0 0.0 200.0),346.26,11.452,29.796
Truck-28,Route-28,(175.0 0.0 155.5),(125.0 0.0 200.0),347.536,11.172,31.392
Truck-4,Route-4,(675.0 0.0 205.5),(625.0 0.0 100.0),350.652,8.424,37.208
Truck-19,Route-19,(675.0 0.0 155.5),(375.0 0.0 200.0),352.112,11.444,34.656
Truck-12,Route-12,(425.0 0.0 105.5),(375.0 0.0 200.0),355.448,8.416,42.008
Truck-2,Route-2,(175.0 0.0 105.5),(125.0 0.0 200.0),356.68,8.424,43.268
Truck-35,Route-35,(175.0 0.0 155.5),(125.0 0.0 200.0),355.168,10.224,37.916
Truck-6,Route-6,(425.0 0.0 205.5),(375.0 0.0 0.0),359.5,8.42,46.04
Truck-17,Route-17,(675.0 0.0 205.5),(625.0 0.0 50.0),363.292,11.452,41.844
Truck-22,Route-22,(175.0 0.0 205.5),(125.0 0.0 150.0),363.928,11.444,45.48
Truck-32,Route-32,(675.0 0.0 155.5),(625.0 0.0 200.0),362.52,10.748,45.78
Truck-13,Route-13,(175.0 0.0 205.5),(125.0 0.0 0.0),367.216,8.416,53.752
Truck-5,Route-5,(425.0 0.0 55.5),(125.0 0.0 200.0),367.224,8.42,53.764
Truck-0,Route-0,(425.0 0.0 155.5),(625.0 0.0 200.0),372.464,8.428,59.004
Truck-29,Route-29,(175.0 0.0 5.5),(125.0 0.0 200.0),376.284,8.412,62.848
Truck-23,Route-23,(425.0 0.0 205.5),(625.0 0.0 0.0),377.516,11.448,56.06
Truck-20,Route-20,(425.0 0.0 55.5),(125.0 0.0 200.0),379.592,11.448,62.14
Truck-38,Route-38,(175.0 0.0 5.5),(125.0 0.0 200.0),381.628,11.44,65.172
Truck-14,Route-14,(675.0 0.0 55.5),(375.0 0.0 100.0),387.824,40.656,42.168
Truck-39,Route-39,(675.0 0.0 205.5),(125.0 0.0 50.0),389.4,10.752,61.652
Truck-3,Route-3,(175.0 0.0 155.5),(375.0 0.0 150.0),400.2,32.196,62.992
Truck-36,Route-36,(425.0 0.0 55.5),(375.0 0.0 200.0),398.06,10.752,79.316
Truck-8,Route-8,(675.0 0.0 105.5),(125.0 0.0 200.0),409.612,8.42,96.152
Truck-9,Route-9,(175.0 0.0 -5.5),(125.0 0.0 100.0),413.068,38.352,66.724
Truck-7,Route-7,(675.0 0.0 5.5),(625.0 0.0 0.0),416.276,63.084,42.208
Truck-27,Route-27,(675.0 0.0 55.5),(125.0 0.0 150.0),420.608,54.552,58.048
Truck-16,Route-16,(675.0 0.0 105.5),(125.0 0.0 50.0),420.696,45.072,66.588
Truck-26,Route-26,(675.0 0.0 5.5),(375.0 0.0 100.0),424.688,74.728,44.868
Truck-18,Route-18,(425.0 0.0 -5.5),(625.0 0.0 0.0),427.608,58.62,41.996
Truck-33,Route-33,(425.0 0.0 105.5),(625.0 0.0 50.0),430.676,44.888,78.804
Truck-37,Route-37,(675.0 0.0 55.5),(125.0 0.0 200.0),431.168,10.012,116.148
Truck-25,Route-25,(425.0 0.0 105.5),(375.0 0.0 100.0),435.132,44.004,84.1
Truck-15,Route-15,(175.0 0.0 105.5),(625.0 0.0 100.0),435.736,42.116,87.608
Truck-34,Route-34,(425.0 0.0 -5.5),(125.0 0.0 100.0),432.376,64.368,59.004
Truck-1,Route-1,(175.0 0.0 55.5),(375.0 0.0 200.0),437.78,8.42,124.36
Truck-10,Route-10,(425.0 0.0 -5.5),(375.0 0.0 0.0),438.732,49.724,50.024
Truck-24,Route-24,(175.0 0.0 55.5),(375.0 0.0 200.0),441.596,11.452,125.132
Truck-31,Route-31,(675.0 0.0 5.5),(375.0 0.0 0.0),444.776,76.82,58.96
Truck-30,Route-30,(175.0 0.0 105.5),(625.0 0.0 200.0),453.08,11.844,136.216
