Truck_id,Route_id,Origin,Destination,Total Time,PickupSta AT,DropSta AT
Truck-2,Route-2,(675.0 0.0 105.5),(625.0 0.0 200.0),349.856,7.876,36.908
Truck-0,Route-0,(425.0 0.0 105.5),(375.0 0.0 200.0),352.084,7.88,39.164
Truck-6,Route-6,(425.0 0.0 205.5),(125.0 0.0 50.0),353.26,7.876,40.324
Truck-1,Route-1,(675.0 0.0 205.5),(625.0 0.0 50.0),354.336,7.876,41.424
Truck-7,Route-7,(425.0 0.0 55.5),(125.0 0.0 200.0),357.636,7.876,44.792
Truck-5,Route-5,(425.0 0.0 5.5),(375.0 0.0 200.0),358.8,7.876,45.948
Truck-14,Route-14,(675.0 0.0 155.5),(125.0 0.0 200.0),362.976,7.876,50.112
Truck-12,Route-12,(425.0 0.0 155.5),(375.0 0.0 150.0),369.576,31.688,32.888
Truck-11,Route-11,(175.0 0.0 205.5),(375.0 0.0 150.0),373.996,7.876,61.136
Truck-9,Route-9,(175.0 0.0 105.5),(125.0 0.0 100.0),380.176,35.824,39.364
Truck-8,Route-8,(675.0 0.0 55.5),(625.0 0.0 0.0),386.624,40.04,41.584
Truck-4,Route-4,(175.0 0.0 155.5),(625.0 0.0 200.0),388.22,7.872,75.372
Truck-10,Route-10,(175.0 0.0 55.5),(125.0 0.0 150.0),388.916,39.624,42.316
Truck-3,Route-3,(175.0 0.0 -5.5),(125.0 0.0 0.0),394.84,38.468,51.384
Truck-13,Route-13,(675.0 0.0 5.5),(125.0 0.0 100.0),403.236,44.348,52.908
Truck-100,Route-100,(175.0 0.0 155.5),(625.0 0.0 50.0),436.352,92.172,39.192
