Truck_id, Route_id, Origin, Destination, Total Time, PickupSta AT, DropSta AT
Truck-1,Route-1,(675.0 0.0 155.5),(625.0 0.0 200.0),336.708,7.396,28.308
Truck-5,Route-5,(675.0 0.0 105.5),(375.0 0.0 200.0),342.208,7.396,33.808
Truck-8,Route-8,(425.0 0.0 5.5),(625.0 0.0 200.0),358.184,7.388,49.784
Truck-0,Route-0,(675.0 0.0 5.5),(125.0 0.0 200.0),363.592,24.072,38.508
Truck-14,Route-14,(675.0 0.0 5.5),(625.0 0.0 200.0),358.128,10.312,44.796
Truck-18,Route-18,(425.0 0.0 105.5),(625.0 0.0 200.0),365.768,7.392,57.368
Truck-2,Route-2,(675.0 0.0 155.5),(625.0 0.0 50.0),370.972,35.384,33.568
Truck-3,Route-3,(675.0 0.0 205.5),(125.0 0.0 0.0),371.628,7.396,63.224
Truck-6,Route-6,(425.0 0.0 155.5),(625.0 0.0 0.0),372.692,32.212,39.476
Truck-15,Route-15,(425.0 0.0 55.5),(375.0 0.0 100.0),381.548,46.264,32.264
Truck-16,Route-16,(175.0 0.0 155.5),(625.0 0.0 200.0),381.092,10.052,68.032
Truck-4,Route-4,(675.0 0.0 5.5),(625.0 0.0 0.0),384.208,44.564,38.64
Truck-11,Route-11,(425.0 0.0 155.5),(125.0 0.0 150.0),384.428,36.024,47.396
Truck-10,Route-10,(675.0 0.0 5.5),(125.0 0.0 200.0),381.856,10.032,70.816
Truck-13,Route-13,(175.0 0.0 155.5),(375.0 0.0 150.0),385.028,35.468,48.548
Truck-7,Route-7,(175.0 0.0 155.5),(625.0 0.0 150.0),397.928,31.6,65.32
Truck-19,Route-19,(175.0 0.0 155.5),(375.0 0.0 0.0),394.732,37.828,55.896
Truck-17,Route-17,(425.0 0.0 -5.5),(125.0 0.0 200.0),404.868,42.064,61.796
Truck-9,Route-9,(175.0 0.0 105.5),(625.0 0.0 0.0),425.184,41.228,76.92
Truck-12,Route-12,(425.0 0.0 55.5),(375.0 0.0 100.0),425.208,41.888,73.288
Truck-100,Route-100,(175.0 0.0 155.5),(625.0 0.0 50.0),436.2,99.68,35.508
