Truck_id,Route_id,Pick_station,Drop_station
0,0,"(625, 0, 200)","(125, 0, 150)"
1,1,"(375, 0, 150)","(625, 0, 200)"
2,2,"(625, 0, 200)","(125, 0, 50)"
3,3,"(125, 0, 150)","(625, 0, 200)"
4,4,"(625, 0, 200)","(375, 0, 0)"
5,5,"(125, 0, 200)","(375, 0, 100)"
6,6,"(625, 0, 200)","(375, 0, 100)"
7,7,"(375, 0, 100)","(125, 0, 200)"
8,8,"(125, 0, 0)","(625, 0, 200)"
9,9,"(125, 0, 200)","(625, 0, 50)"
10,10,"(375, 0, 200)","(125, 0, 50)"
11,11,"(375, 0, 200)","(125, 0, 50)"
12,12,"(375, 0, 0)","(375, 0, 200)"
13,13,"(125, 0, 50)","(125, 0, 200)"
14,14,"(625, 0, 200)","(625, 0, 0)"
15,15,"(375, 0, 200)","(125, 0, 100)"
16,16,"(125, 0, 200)","(375, 0, 100)"
17,17,"(125, 0, 0)","(125, 0, 200)"
18,18,"(125, 0, 100)","(125, 0, 200)"
19,19,"(125, 0, 200)","(375, 0, 150)"
20,20,"(125, 0, 200)","(625, 0, 0)"
21,21,"(625, 0, 200)","(375, 0, 150)"
22,22,"(125, 0, 200)","(375, 0, 0)"
23,23,"(125, 0, 200)","(125, 0, 0)"
24,24,"(625, 0, 150)","(625, 0, 200)"
25,25,"(625, 0, 0)","(625, 0, 200)"
26,26,"(125, 0, 200)","(625, 0, 100)"
27,27,"(125, 0, 50)","(625, 0, 200)"
28,28,"(125, 0, 200)","(625, 0, 0)"
29,29,"(375, 0, 200)","(625, 0, 50)"
