Truck_id,Route_id,Path_length,Completion_Time_alone,Pick_station,Drop_station
0,0,15,41.26431570334634,"(375, 0, 150)","(125, 0, 200)"
1,1,21,52.01737145373386,"(625, 0, 0)","(625, 0, 200)"
2,2,35,77.10783487130473,"(125, 0, 150)","(625, 0, 200)"
3,3,27,62.770427204121376,"(125, 0, 100)","(375, 0, 200)"
4,4,19,48.43301953693802,"(625, 0, 50)","(375, 0, 200)"
5,5,39,84.27653870489641,"(125, 0, 200)","(375, 0, 150)"
6,6,17,44.84866762014218,"(625, 0, 200)","(375, 0, 100)"
7,7,29,66.35477912091721,"(125, 0, 50)","(375, 0, 200)"
8,8,37,80.69218678810057,"(125, 0, 200)","(625, 0, 100)"
9,9,21,52.01737145373386,"(375, 0, 0)","(375, 0, 200)"
10,10,41,87.86089062169225,"(125, 0, 200)","(125, 0, 100)"
11,11,25,59.18607528732554,"(625, 0, 150)","(125, 0, 200)"
12,12,31,69.93913103771305,"(125, 0, 0)","(625, 0, 200)"
13,13,29,66.35477912091721,"(375, 0, 50)","(625, 0, 200)"
14,14,19,48.43301953693802,"(375, 0, 200)","(375, 0, 50)"
