Truck_id,Route_id,Path_length,Completion_Time_alone,Pick_station,Drop_station
0,0,21,352.01737145373386,"(375, 0, 0)","(625, 0, 200)"
1,1,39,384.2765387048964,"(375, 0, 50)","(625, 0, 200)"
2,2,29,366.3547791209172,"(625, 0, 200)","(625, 0, 150)"
3,3,15,341.2643157033463,"(125, 0, 200)","(125, 0, 150)"
4,4,21,352.01737145373386,"(125, 0, 0)","(375, 0, 200)"
5,5,17,344.8486676201422,"(625, 0, 100)","(375, 0, 200)"
6,6,51,405.7826502056714,"(125, 0, 200)","(625, 0, 50)"
7,7,39,384.2765387048964,"(125, 0, 50)","(625, 0, 200)"
8,8,19,348.433019536938,"(625, 0, 200)","(375, 0, 50)"
9,9,45,395.0295944552839,"(125, 0, 200)","(625, 0, 0)"
10,10,43,391.44524253848806,"(125, 0, 200)","(125, 0, 100)"
11,11,15,341.2643157033463,"(375, 0, 200)","(375, 0, 150)"
12,12,53,409.3670021224673,"(125, 0, 200)","(625, 0, 0)"
13,13,29,366.3547791209172,"(375, 0, 200)","(375, 0, 100)"
14,14,17,344.8486676201422,"(375, 0, 100)","(375, 0, 200)"
