Truck_id,Route_id,Path_length,Completion_Time_alone,Pick_station,Drop_station
0,0,33,373.5234829545089,"(125, 0, 200)","(125, 0, 50)"
1,1,55,412.9513540392631,"(125, 0, 200)","(625, 0, 50)"
2,2,35,377.1078348713047,"(625, 0, 200)","(375, 0, 50)"
3,3,15,341.2643157033463,"(125, 0, 150)","(125, 0, 200)"
4,4,27,362.77042720412135,"(125, 0, 200)","(375, 0, 100)"
5,5,31,369.939131037713,"(125, 0, 0)","(625, 0, 200)"
6,6,27,362.77042720412135,"(125, 0, 100)","(375, 0, 200)"
7,7,43,391.44524253848806,"(125, 0, 200)","(375, 0, 100)"
8,8,17,344.8486676201422,"(625, 0, 100)","(375, 0, 200)"
9,9,25,359.18607528732554,"(375, 0, 200)","(625, 0, 150)"
10,10,21,352.01737145373386,"(625, 0, 200)","(375, 0, 0)"
11,11,25,359.18607528732554,"(375, 0, 150)","(625, 0, 200)"
12,12,37,380.69218678810057,"(375, 0, 150)","(625, 0, 200)"
13,13,39,384.2765387048964,"(375, 0, 200)","(625, 0, 100)"
14,14,21,352.01737145373386,"(625, 0, 0)","(375, 0, 200)"
