Truck_id,Route_id,Path_length,Completion_Time_alone,Pick_station,Drop_station
0,0,29,366.3547791209172,"(125, 0, 200)","(125, 0, 100)"
1,1,29,366.3547791209172,"(375, 0, 100)","(125, 0, 200)"
2,2,15,341.2643157033463,"(125, 0, 200)","(125, 0, 150)"
3,3,31,369.939131037713,"(375, 0, 200)","(375, 0, 150)"
4,4,31,369.939131037713,"(125, 0, 0)","(625, 0, 200)"
5,5,29,366.3547791209172,"(625, 0, 200)","(625, 0, 150)"
6,6,31,369.939131037713,"(375, 0, 0)","(125, 0, 200)"
7,7,51,405.7826502056714,"(125, 0, 200)","(625, 0, 100)"
8,8,39,384.2765387048964,"(125, 0, 50)","(625, 0, 200)"
9,9,27,362.77042720412135,"(375, 0, 200)","(125, 0, 150)"
10,10,29,366.3547791209172,"(375, 0, 200)","(625, 0, 50)"
11,11,35,377.1078348713047,"(375, 0, 200)","(625, 0, 0)"
12,12,37,380.69218678810057,"(375, 0, 200)","(625, 0, 150)"
13,13,27,362.77042720412135,"(375, 0, 100)","(625, 0, 200)"
14,14,29,366.3547791209172,"(625, 0, 200)","(125, 0, 50)"
15,15,27,362.77042720412135,"(125, 0, 100)","(375, 0, 200)"
16,16,49,402.1982982888756,"(125, 0, 200)","(625, 0, 100)"
17,17,21,352.01737145373386,"(625, 0, 0)","(625, 0, 200)"
18,18,31,369.939131037713,"(375, 0, 200)","(375, 0, 50)"
19,19,21,352.01737145373386,"(625, 0, 200)","(375, 0, 0)"
