Truck_id,Route_id,Pick_station,Drop_station
0,0,"(625, 0, 200)","(375, 0, 100)"
1,1,"(125, 0, 100)","(375, 0, 200)"
2,2,"(625, 0, 150)","(125, 0, 200)"
3,3,"(125, 0, 200)","(375, 0, 50)"
4,4,"(125, 0, 200)","(625, 0, 50)"
5,5,"(125, 0, 200)","(625, 0, 0)"
6,6,"(125, 0, 200)","(125, 0, 0)"
7,7,"(375, 0, 200)","(625, 0, 150)"
8,8,"(125, 0, 150)","(375, 0, 200)"
9,9,"(625, 0, 200)","(375, 0, 100)"
10,10,"(375, 0, 200)","(375, 0, 0)"
11,11,"(625, 0, 100)","(375, 0, 200)"
12,12,"(625, 0, 0)","(375, 0, 200)"
13,13,"(375, 0, 200)","(125, 0, 150)"
14,14,"(375, 0, 50)","(625, 0, 200)"
15,15,"(625, 0, 200)","(625, 0, 100)"
16,16,"(375, 0, 150)","(625, 0, 200)"
17,17,"(125, 0, 100)","(375, 0, 200)"
18,18,"(125, 0, 200)","(125, 0, 50)"
19,19,"(625, 0, 200)","(375, 0, 150)"
20,20,"(625, 0, 200)","(625, 0, 50)"
21,21,"(125, 0, 150)","(375, 0, 200)"
22,22,"(625, 0, 200)","(375, 0, 0)"
23,23,"(125, 0, 0)","(125, 0, 200)"
24,24,"(125, 0, 50)","(125, 0, 200)"
