Truck_id,Route_id,Pick_station,Drop_station
0,0,"(125, 0, 0)","(625, 0, 200)"
1,1,"(125, 0, 200)","(375, 0, 0)"
2,2,"(125, 0, 200)","(625, 0, 150)"
3,3,"(375, 0, 100)","(375, 0, 200)"
4,4,"(625, 0, 200)","(375, 0, 50)"
5,5,"(625, 0, 200)","(625, 0, 50)"
6,6,"(375, 0, 50)","(125, 0, 200)"
7,7,"(625, 0, 200)","(125, 0, 100)"
8,8,"(375, 0, 200)","(125, 0, 150)"
9,9,"(125, 0, 150)","(375, 0, 200)"
10,10,"(375, 0, 200)","(625, 0, 100)"
11,11,"(125, 0, 100)","(375, 0, 200)"
12,12,"(125, 0, 200)","(375, 0, 150)"
13,13,"(625, 0, 150)","(375, 0, 200)"
14,14,"(125, 0, 200)","(125, 0, 50)"
15,15,"(375, 0, 0)","(625, 0, 200)"
16,16,"(375, 0, 200)","(125, 0, 50)"
17,17,"(625, 0, 200)","(625, 0, 50)"
18,18,"(125, 0, 200)","(375, 0, 150)"
19,19,"(375, 0, 200)","(375, 0, 100)"
20,20,"(375, 0, 100)","(125, 0, 200)"
21,21,"(125, 0, 0)","(625, 0, 200)"
22,22,"(625, 0, 0)","(625, 0, 200)"
23,23,"(125, 0, 200)","(625, 0, 0)"
24,24,"(625, 0, 100)","(375, 0, 200)"
