Truck_id,Route_id,Pick_station,Drop_station
0,0,"(125, 0, 200)","(625, 0, 0)"
1,1,"(625, 0, 200)","(375, 0, 0)"
2,2,"(125, 0, 200)","(625, 0, 50)"
3,3,"(375, 0, 200)","(125, 0, 0)"
4,4,"(125, 0, 200)","(625, 0, 100)"
5,5,"(375, 0, 200)","(625, 0, 150)"
6,6,"(125, 0, 50)","(375, 0, 200)"
7,7,"(375, 0, 200)","(125, 0, 150)"
8,8,"(625, 0, 200)","(625, 0, 50)"
9,9,"(125, 0, 50)","(375, 0, 200)"
10,10,"(625, 0, 0)","(625, 0, 200)"
11,11,"(125, 0, 200)","(625, 0, 150)"
12,12,"(625, 0, 200)","(375, 0, 100)"
13,13,"(375, 0, 0)","(625, 0, 200)"
14,14,"(375, 0, 50)","(125, 0, 200)"
15,15,"(125, 0, 0)","(625, 0, 200)"
16,16,"(375, 0, 100)","(125, 0, 200)"
17,17,"(625, 0, 0)","(625, 0, 200)"
18,18,"(375, 0, 150)","(625, 0, 200)"
19,19,"(625, 0, 200)","(375, 0, 150)"
20,20,"(375, 0, 200)","(625, 0, 50)"
21,21,"(375, 0, 200)","(125, 0, 100)"
22,22,"(375, 0, 50)","(125, 0, 200)"
23,23,"(375, 0, 50)","(625, 0, 200)"
24,24,"(125, 0, 50)","(375, 0, 200)"
25,25,"(125, 0, 200)","(625, 0, 100)"
26,26,"(375, 0, 0)","(375, 0, 200)"
27,27,"(375, 0, 200)","(125, 0, 100)"
28,28,"(125, 0, 200)","(125, 0, 150)"
29,29,"(125, 0, 200)","(125, 0, 100)"
