Truck_id,Route_id,Path_length,Completion_Time_alone,Pick_station,Drop_station
0,0,43,391.44524253848806,"(375, 0, 50)","(625, 0, 200)"
1,1,17,344.8486676201422,"(625, 0, 100)","(625, 0, 200)"
2,2,33,373.5234829545089,"(125, 0, 200)","(125, 0, 100)"
3,3,17,344.8486676201422,"(375, 0, 100)","(125, 0, 200)"
4,4,25,359.18607528732554,"(375, 0, 200)","(125, 0, 50)"
5,5,17,344.8486676201422,"(625, 0, 200)","(625, 0, 100)"
6,6,15,341.2643157033463,"(375, 0, 150)","(125, 0, 200)"
7,7,43,391.44524253848806,"(375, 0, 200)","(625, 0, 50)"
8,8,33,373.5234829545089,"(125, 0, 200)","(125, 0, 50)"
9,9,17,344.8486676201422,"(375, 0, 200)","(375, 0, 100)"
10,10,15,341.2643157033463,"(625, 0, 150)","(375, 0, 200)"
11,11,21,352.01737145373386,"(375, 0, 0)","(125, 0, 200)"
12,12,43,391.44524253848806,"(125, 0, 200)","(625, 0, 0)"
13,13,19,348.433019536938,"(375, 0, 50)","(125, 0, 200)"
14,14,21,352.01737145373386,"(625, 0, 0)","(625, 0, 200)"
15,15,21,352.01737145373386,"(625, 0, 200)","(625, 0, 0)"
16,16,39,384.2765387048964,"(625, 0, 200)","(125, 0, 150)"
17,17,27,362.77042720412135,"(125, 0, 200)","(125, 0, 150)"
18,18,27,362.77042720412135,"(625, 0, 150)","(375, 0, 200)"
19,19,45,395.0295944552839,"(125, 0, 100)","(625, 0, 200)"
20,20,15,341.2643157033463,"(375, 0, 150)","(375, 0, 200)"
21,21,27,362.77042720412135,"(375, 0, 0)","(375, 0, 200)"
22,22,29,366.3547791209172,"(375, 0, 200)","(625, 0, 50)"
23,23,21,352.01737145373386,"(125, 0, 200)","(125, 0, 0)"
24,24,37,380.69218678810057,"(125, 0, 200)","(125, 0, 0)"
25,25,19,348.433019536938,"(625, 0, 50)","(625, 0, 200)"
26,26,15,341.2643157033463,"(625, 0, 150)","(625, 0, 200)"
27,27,19,348.433019536938,"(375, 0, 50)","(375, 0, 200)"
28,28,21,352.01737145373386,"(375, 0, 0)","(625, 0, 200)"
29,29,29,366.3547791209172,"(375, 0, 200)","(125, 0, 150)"
