Truck_id,Route_id,Pick_station,Drop_station
0,0,"(125, 0, 150)","(625, 0, 200)"
1,1,"(625, 0, 200)","(625, 0, 150)"
2,2,"(625, 0, 200)","(625, 0, 150)"
3,3,"(625, 0, 200)","(125, 0, 50)"
4,4,"(125, 0, 100)","(375, 0, 200)"
5,5,"(625, 0, 200)","(125, 0, 150)"
6,6,"(375, 0, 200)","(375, 0, 150)"
7,7,"(375, 0, 0)","(125, 0, 200)"
8,8,"(125, 0, 200)","(125, 0, 50)"
9,9,"(375, 0, 150)","(125, 0, 200)"
10,10,"(375, 0, 200)","(125, 0, 100)"
11,11,"(375, 0, 200)","(375, 0, 0)"
12,12,"(125, 0, 0)","(625, 0, 200)"
13,13,"(625, 0, 0)","(125, 0, 200)"
14,14,"(375, 0, 50)","(125, 0, 200)"
15,15,"(375, 0, 200)","(375, 0, 100)"
16,16,"(125, 0, 200)","(625, 0, 50)"
17,17,"(625, 0, 200)","(625, 0, 100)"
18,18,"(125, 0, 0)","(125, 0, 200)"
19,19,"(125, 0, 100)","(375, 0, 200)"
20,20,"(375, 0, 50)","(375, 0, 200)"
21,21,"(375, 0, 200)","(625, 0, 150)"
22,22,"(375, 0, 100)","(625, 0, 200)"
23,23,"(625, 0, 0)","(375, 0, 200)"
24,24,"(125, 0, 200)","(125, 0, 0)"
25,25,"(375, 0, 200)","(625, 0, 100)"
26,26,"(625, 0, 200)","(625, 0, 50)"
27,27,"(125, 0, 200)","(375, 0, 50)"
28,28,"(625, 0, 200)","(375, 0, 100)"
29,29,"(375, 0, 0)","(125, 0, 200)"
