Truck_id,Route_id,Pick_station,Drop_station
0,0,"(375, 0, 150)","(375, 0, 200)"
1,1,"(625, 0, 100)","(375, 0, 200)"
2,2,"(125, 0, 150)","(125, 0, 200)"
3,3,"(625, 0, 0)","(125, 0, 200)"
4,4,"(375, 0, 200)","(625, 0, 0)"
5,5,"(625, 0, 150)","(125, 0, 200)"
6,6,"(625, 0, 200)","(625, 0, 150)"
7,7,"(125, 0, 200)","(375, 0, 50)"
8,8,"(125, 0, 0)","(125, 0, 200)"
9,9,"(625, 0, 200)","(125, 0, 100)"
10,10,"(625, 0, 200)","(625, 0, 50)"
11,11,"(375, 0, 200)","(625, 0, 100)"
12,12,"(375, 0, 0)","(625, 0, 200)"
13,13,"(125, 0, 50)","(625, 0, 200)"
14,14,"(375, 0, 200)","(375, 0, 100)"
15,15,"(375, 0, 200)","(625, 0, 0)"
16,16,"(375, 0, 100)","(375, 0, 200)"
17,17,"(125, 0, 0)","(125, 0, 200)"
18,18,"(375, 0, 200)","(375, 0, 50)"
19,19,"(625, 0, 200)","(125, 0, 150)"
20,20,"(625, 0, 150)","(375, 0, 200)"
21,21,"(125, 0, 200)","(625, 0, 50)"
22,22,"(625, 0, 200)","(625, 0, 50)"
23,23,"(125, 0, 150)","(375, 0, 200)"
24,24,"(625, 0, 200)","(125, 0, 100)"
25,25,"(625, 0, 200)","(125, 0, 100)"
26,26,"(375, 0, 0)","(125, 0, 200)"
27,27,"(375, 0, 150)","(625, 0, 200)"
28,28,"(625, 0, 100)","(125, 0, 200)"
29,29,"(125, 0, 50)","(125, 0, 200)"
