Truck_id,Route_id,Pick_station,Drop_station
0,0,"(125, 0, 0)","(125, 0, 200)"
1,1,"(375, 0, 50)","(125, 0, 200)"
2,2,"(625, 0, 50)","(625, 0, 200)"
3,3,"(375, 0, 150)","(625, 0, 200)"
4,4,"(125, 0, 200)","(625, 0, 150)"
5,5,"(625, 0, 200)","(625, 0, 100)"
6,6,"(125, 0, 50)","(625, 0, 200)"
7,7,"(375, 0, 0)","(625, 0, 200)"
8,8,"(625, 0, 100)","(125, 0, 200)"
9,9,"(625, 0, 150)","(625, 0, 200)"
10,10,"(375, 0, 200)","(125, 0, 0)"
11,11,"(375, 0, 100)","(375, 0, 200)"
12,12,"(125, 0, 100)","(125, 0, 200)"
13,13,"(625, 0, 0)","(125, 0, 200)"
14,14,"(125, 0, 200)","(625, 0, 150)"
15,15,"(125, 0, 200)","(125, 0, 100)"
16,16,"(625, 0, 200)","(125, 0, 150)"
17,17,"(625, 0, 200)","(125, 0, 0)"
18,18,"(375, 0, 150)","(375, 0, 200)"
19,19,"(375, 0, 0)","(125, 0, 200)"
20,20,"(375, 0, 200)","(375, 0, 100)"
21,21,"(375, 0, 200)","(375, 0, 50)"
22,22,"(375, 0, 150)","(625, 0, 200)"
23,23,"(125, 0, 100)","(625, 0, 200)"
24,24,"(125, 0, 50)","(375, 0, 200)"
25,25,"(125, 0, 200)","(125, 0, 100)"
26,26,"(625, 0, 50)","(125, 0, 200)"
27,27,"(125, 0, 200)","(375, 0, 0)"
28,28,"(375, 0, 200)","(125, 0, 150)"
29,29,"(625, 0, 200)","(625, 0, 150)"
30,30,"(375, 0, 50)","(375, 0, 200)"
31,31,"(125, 0, 200)","(625, 0, 0)"
32,32,"(125, 0, 50)","(625, 0, 200)"
33,33,"(375, 0, 150)","(375, 0, 200)"
34,34,"(375, 0, 200)","(625, 0, 0)"
35,35,"(375, 0, 0)","(375, 0, 200)"
36,36,"(125, 0, 200)","(625, 0, 0)"
37,37,"(625, 0, 150)","(125, 0, 200)"
38,38,"(625, 0, 100)","(625, 0, 200)"
39,39,"(375, 0, 200)","(625, 0, 50)"
40,40,"(625, 0, 50)","(125, 0, 200)"
41,41,"(125, 0, 200)","(375, 0, 50)"
42,42,"(375, 0, 200)","(375, 0, 100)"
43,43,"(375, 0, 150)","(625, 0, 200)"
44,44,"(625, 0, 200)","(125, 0, 0)"
45,45,"(125, 0, 150)","(375, 0, 200)"
46,46,"(625, 0, 100)","(375, 0, 200)"
47,47,"(625, 0, 200)","(375, 0, 100)"
48,48,"(125, 0, 50)","(375, 0, 200)"
49,49,"(625, 0, 200)","(125, 0, 150)"
