Truck_id,Route_id,Path_length,Completion_Time_alone,Pick_station,Drop_station
0,0,21,352.01737145373386,"(375, 0, 0)","(625, 0, 200)"
1,1,29,366.3547791209172,"(625, 0, 200)","(375, 0, 100)"
2,2,27,362.77042720412135,"(625, 0, 100)","(125, 0, 200)"
3,3,37,380.69218678810057,"(125, 0, 50)","(375, 0, 200)"
4,4,49,402.1982982888756,"(125, 0, 200)","(625, 0, 150)"
5,5,37,380.69218678810057,"(375, 0, 200)","(625, 0, 0)"
6,6,37,380.69218678810057,"(625, 0, 200)","(125, 0, 0)"
7,7,27,362.77042720412135,"(625, 0, 50)","(375, 0, 200)"
8,8,41,387.86089062169225,"(125, 0, 200)","(375, 0, 50)"
9,9,29,366.3547791209172,"(125, 0, 200)","(125, 0, 100)"
