Truck_id,Route_id,Path_length,Completion_Time_alone,Pick_station,Drop_station
0,0,29,366.3547791209172,"(125, 0, 150)","(125, 0, 200)"
1,1,29,366.3547791209172,"(375, 0, 200)","(125, 0, 100)"
2,2,31,369.939131037713,"(625, 0, 0)","(125, 0, 200)"
3,3,37,380.69218678810057,"(125, 0, 200)","(125, 0, 0)"
4,4,25,359.18607528732554,"(625, 0, 150)","(125, 0, 200)"
5,5,29,366.3547791209172,"(625, 0, 50)","(125, 0, 200)"
6,6,45,395.0295944552839,"(125, 0, 200)","(625, 0, 0)"
7,7,21,352.01737145373386,"(375, 0, 200)","(375, 0, 0)"
8,8,27,362.77042720412135,"(375, 0, 100)","(625, 0, 200)"
9,9,31,369.939131037713,"(125, 0, 0)","(625, 0, 200)"
10,10,19,348.433019536938,"(125, 0, 200)","(125, 0, 50)"
11,11,25,359.18607528732554,"(125, 0, 150)","(375, 0, 200)"
12,12,33,373.5234829545089,"(625, 0, 200)","(375, 0, 50)"
13,13,41,387.86089062169225,"(625, 0, 200)","(125, 0, 100)"
14,14,21,352.01737145373386,"(625, 0, 200)","(375, 0, 0)"
15,15,51,405.7826502056714,"(125, 0, 200)","(625, 0, 100)"
16,16,15,341.2643157033463,"(375, 0, 150)","(375, 0, 200)"
17,17,25,359.18607528732554,"(125, 0, 200)","(375, 0, 150)"
18,18,33,373.5234829545089,"(375, 0, 200)","(375, 0, 50)"
19,19,15,341.2643157033463,"(375, 0, 200)","(375, 0, 150)"
20,20,31,369.939131037713,"(625, 0, 200)","(375, 0, 100)"
21,21,15,341.2643157033463,"(625, 0, 200)","(625, 0, 150)"
22,22,19,348.433019536938,"(625, 0, 50)","(625, 0, 200)"
23,23,17,344.8486676201422,"(625, 0, 100)","(375, 0, 200)"
24,24,29,366.3547791209172,"(125, 0, 50)","(375, 0, 200)"
