Truck_id,Route_id,Path_length,Completion_Time_alone,Pick_station,Drop_station
0,0,69,438.041817456834,"(375, 0, 200)","(625, 0, 100)"
1,1,59,420.1200578728548,"(375, 0, 200)","(375, 0, 100)"
2,2,55,412.9513540392631,"(625, 0, 0)","(125, 0, 200)"
3,3,71,441.6261693736298,"(375, 0, 200)","(625, 0, 150)"
4,4,19,348.433019536938,"(375, 0, 50)","(125, 0, 200)"
5,5,75,448.7948732072215,"(625, 0, 50)","(625, 0, 200)"
6,6,65,430.8731136232423,"(375, 0, 50)","(625, 0, 200)"
7,7,29,366.3547791209172,"(375, 0, 150)","(125, 0, 200)"
8,8,65,430.8731136232423,"(375, 0, 0)","(375, 0, 200)"
9,9,47,398.61394637207974,"(125, 0, 150)","(625, 0, 200)"
10,10,29,366.3547791209172,"(625, 0, 50)","(125, 0, 200)"
11,11,85,466.7166327912007,"(125, 0, 200)","(375, 0, 150)"
12,12,57,416.53570595605896,"(375, 0, 200)","(125, 0, 0)"
13,13,63,427.28876170644645,"(625, 0, 200)","(125, 0, 50)"
14,14,79,455.96357704081316,"(625, 0, 200)","(125, 0, 100)"
15,15,61,423.70440978965064,"(125, 0, 200)","(375, 0, 100)"
16,16,55,412.9513540392631,"(625, 0, 0)","(625, 0, 200)"
17,17,53,409.3670021224673,"(375, 0, 200)","(125, 0, 150)"
18,18,55,412.9513540392631,"(125, 0, 0)","(625, 0, 200)"
19,19,69,438.041817456834,"(125, 0, 200)","(625, 0, 100)"
