Truck_id,Route_id,Path_length,Completion_Time_alone,Pick_station,Drop_station
0,0,59,420.1200578728548,"(625, 0, 200)","(375, 0, 50)"
1,1,47,398.61394637207974,"(125, 0, 150)","(625, 0, 200)"
2,2,71,441.6261693736298,"(625, 0, 200)","(125, 0, 150)"
3,3,29,366.3547791209172,"(625, 0, 50)","(125, 0, 200)"
4,4,39,384.2765387048964,"(375, 0, 50)","(375, 0, 200)"
5,5,55,412.9513540392631,"(125, 0, 200)","(375, 0, 0)"
6,6,45,395.0295944552839,"(125, 0, 0)","(125, 0, 200)"
7,7,37,380.69218678810057,"(375, 0, 150)","(375, 0, 200)"
8,8,53,409.3670021224673,"(625, 0, 200)","(125, 0, 50)"
9,9,57,416.53570595605896,"(625, 0, 200)","(125, 0, 50)"
10,10,55,412.9513540392631,"(375, 0, 200)","(625, 0, 0)"
11,11,59,420.1200578728548,"(375, 0, 150)","(375, 0, 200)"
12,12,29,366.3547791209172,"(625, 0, 150)","(125, 0, 200)"
13,13,55,412.9513540392631,"(125, 0, 200)","(125, 0, 0)"
14,14,27,362.77042720412135,"(625, 0, 100)","(125, 0, 200)"
15,15,63,427.28876170644645,"(625, 0, 200)","(625, 0, 0)"
16,16,51,405.7826502056714,"(375, 0, 200)","(125, 0, 100)"
17,17,59,420.1200578728548,"(375, 0, 200)","(375, 0, 100)"
18,18,61,423.70440978965064,"(125, 0, 200)","(125, 0, 100)"
19,19,81,459.54792895760903,"(625, 0, 200)","(625, 0, 150)"
