Truck_id,Route_id,Path_length,Completion_Time_alone,Pick_station,Drop_station
0,0,27,362.77042720412135,"(625, 0, 100)","(125, 0, 200)"
1,1,55,412.9513540392631,"(125, 0, 200)","(125, 0, 100)"
2,2,57,416.53570595605896,"(375, 0, 200)","(375, 0, 100)"
3,3,33,373.5234829545089,"(625, 0, 50)","(625, 0, 200)"
4,4,61,423.70440978965064,"(375, 0, 200)","(125, 0, 50)"
5,5,47,398.61394637207974,"(125, 0, 150)","(625, 0, 200)"
6,6,25,359.18607528732554,"(625, 0, 150)","(375, 0, 200)"
7,7,55,412.9513540392631,"(125, 0, 0)","(375, 0, 200)"
8,8,51,405.7826502056714,"(375, 0, 200)","(375, 0, 0)"
9,9,53,409.3670021224673,"(625, 0, 200)","(125, 0, 150)"
10,10,53,409.3670021224673,"(375, 0, 200)","(375, 0, 0)"
11,11,29,366.3547791209172,"(375, 0, 50)","(125, 0, 200)"
12,12,57,416.53570595605896,"(625, 0, 200)","(625, 0, 50)"
13,13,45,395.0295944552839,"(625, 0, 200)","(625, 0, 0)"
14,14,45,395.0295944552839,"(625, 0, 200)","(375, 0, 150)"
15,15,65,430.8731136232423,"(375, 0, 200)","(125, 0, 0)"
16,16,29,366.3547791209172,"(375, 0, 50)","(125, 0, 200)"
17,17,53,409.3670021224673,"(125, 0, 200)","(125, 0, 50)"
18,18,71,441.6261693736298,"(125, 0, 200)","(625, 0, 150)"
19,19,59,420.1200578728548,"(625, 0, 200)","(625, 0, 100)"
