Truck_id,Route_id,Path_length,Completion_Time_alone,Pick_station,Drop_station
0,0,35,377.1078348713047,"(125, 0, 0)","(125, 0, 200)"
1,1,51,405.7826502056714,"(625, 0, 200)","(375, 0, 100)"
2,2,45,395.0295944552839,"(625, 0, 0)","(625, 0, 200)"
3,3,27,362.77042720412135,"(625, 0, 100)","(125, 0, 200)"
4,4,49,402.1982982888756,"(375, 0, 50)","(375, 0, 200)"
5,5,51,405.7826502056714,"(375, 0, 0)","(375, 0, 200)"
6,6,39,384.2765387048964,"(375, 0, 50)","(375, 0, 200)"
7,7,37,380.69218678810057,"(375, 0, 100)","(375, 0, 200)"
8,8,51,405.7826502056714,"(375, 0, 200)","(125, 0, 50)"
9,9,53,409.3670021224673,"(625, 0, 200)","(625, 0, 50)"
10,10,45,395.0295944552839,"(375, 0, 150)","(625, 0, 200)"
11,11,61,423.70440978965064,"(625, 0, 200)","(625, 0, 150)"
12,12,51,405.7826502056714,"(625, 0, 0)","(125, 0, 200)"
13,13,65,430.8731136232423,"(375, 0, 200)","(625, 0, 100)"
14,14,35,377.1078348713047,"(125, 0, 100)","(125, 0, 200)"
15,15,41,387.86089062169225,"(125, 0, 0)","(125, 0, 200)"
16,16,37,380.69218678810057,"(125, 0, 150)","(125, 0, 200)"
17,17,49,402.1982982888756,"(375, 0, 200)","(125, 0, 100)"
18,18,49,402.1982982888756,"(625, 0, 200)","(375, 0, 0)"
19,19,57,416.53570595605896,"(625, 0, 200)","(625, 0, 150)"
