Truck_id,Route_id,Path_length,Completion_Time_alone,Pick_station,Drop_station
0,0,61,423.70440978965064,"(125, 0, 200)","(125, 0, 100)"
1,1,57,416.53570595605896,"(375, 0, 0)","(375, 0, 200)"
2,2,69,438.041817456834,"(625, 0, 200)","(375, 0, 100)"
3,3,69,438.041817456834,"(125, 0, 200)","(375, 0, 150)"
4,4,27,362.77042720412135,"(625, 0, 100)","(375, 0, 200)"
5,5,37,380.69218678810057,"(375, 0, 150)","(375, 0, 200)"
6,6,89,473.8853366247924,"(625, 0, 150)","(625, 0, 200)"
7,7,71,441.6261693736298,"(625, 0, 0)","(625, 0, 200)"
8,8,63,427.28876170644645,"(125, 0, 200)","(125, 0, 50)"
9,9,63,427.28876170644645,"(375, 0, 200)","(375, 0, 50)"
10,10,65,430.8731136232423,"(125, 0, 200)","(125, 0, 50)"
11,11,29,366.3547791209172,"(625, 0, 150)","(125, 0, 200)"
12,12,55,412.9513540392631,"(375, 0, 200)","(375, 0, 0)"
13,13,55,412.9513540392631,"(625, 0, 200)","(125, 0, 0)"
14,14,45,395.0295944552839,"(375, 0, 100)","(625, 0, 200)"
15,15,81,459.54792895760903,"(625, 0, 100)","(375, 0, 200)"
16,16,55,412.9513540392631,"(625, 0, 200)","(125, 0, 0)"
17,17,29,366.3547791209172,"(625, 0, 50)","(375, 0, 200)"
18,18,53,409.3670021224673,"(625, 0, 200)","(125, 0, 150)"
19,19,63,427.28876170644645,"(125, 0, 200)","(125, 0, 150)"
