Truck_id,Route_id,Path_length,Completion_Time_alone,Pick_station,Drop_station
0,0,57,416.53570595605896,"(125, 0, 150)","(125, 0, 200)"
1,1,55,412.9513540392631,"(625, 0, 200)","(125, 0, 0)"
2,2,29,366.3547791209172,"(625, 0, 150)","(375, 0, 200)"
3,3,55,412.9513540392631,"(375, 0, 0)","(125, 0, 200)"
4,4,55,412.9513540392631,"(375, 0, 200)","(625, 0, 0)"
5,5,55,412.9513540392631,"(625, 0, 0)","(125, 0, 200)"
6,6,57,416.53570595605896,"(125, 0, 200)","(375, 0, 0)"
7,7,37,380.69218678810057,"(625, 0, 100)","(625, 0, 200)"
8,8,71,441.6261693736298,"(375, 0, 200)","(625, 0, 150)"
9,9,27,362.77042720412135,"(375, 0, 100)","(125, 0, 200)"
10,10,45,395.0295944552839,"(125, 0, 100)","(375, 0, 200)"
11,11,29,366.3547791209172,"(625, 0, 50)","(375, 0, 200)"
12,12,69,438.041817456834,"(125, 0, 200)","(375, 0, 50)"
13,13,59,420.1200578728548,"(625, 0, 200)","(375, 0, 50)"
14,14,69,438.041817456834,"(125, 0, 200)","(375, 0, 100)"
15,15,47,398.61394637207974,"(125, 0, 150)","(625, 0, 200)"
16,16,71,441.6261693736298,"(375, 0, 200)","(625, 0, 100)"
17,17,45,395.0295944552839,"(125, 0, 100)","(625, 0, 200)"
18,18,53,409.3670021224673,"(625, 0, 200)","(125, 0, 50)"
19,19,63,427.28876170644645,"(375, 0, 200)","(375, 0, 150)"
