Truck_id,Route_id,Path_length,Completion_Time_alone,Pick_station,Drop_station
0,0,49,402.1982982888756,"(375, 0, 200)","(125, 0, 150)"
1,1,65,430.8731136232423,"(125, 0, 200)","(625, 0, 100)"
2,2,33,373.5234829545089,"(375, 0, 50)","(625, 0, 200)"
3,3,41,387.86089062169225,"(375, 0, 0)","(125, 0, 200)"
4,4,53,409.3670021224673,"(375, 0, 200)","(625, 0, 50)"
5,5,53,409.3670021224673,"(375, 0, 200)","(625, 0, 0)"
6,6,35,377.1078348713047,"(125, 0, 100)","(125, 0, 200)"
7,7,45,395.0295944552839,"(125, 0, 100)","(375, 0, 200)"
8,8,51,405.7826502056714,"(125, 0, 0)","(125, 0, 200)"
9,9,67,434.45746554003813,"(125, 0, 200)","(625, 0, 150)"
10,10,53,409.3670021224673,"(125, 0, 0)","(625, 0, 200)"
11,11,53,409.3670021224673,"(125, 0, 200)","(625, 0, 0)"
12,12,39,384.2765387048964,"(625, 0, 200)","(375, 0, 150)"
13,13,47,398.61394637207974,"(125, 0, 150)","(625, 0, 200)"
14,14,43,391.44524253848806,"(125, 0, 50)","(625, 0, 200)"
15,15,35,377.1078348713047,"(375, 0, 100)","(625, 0, 200)"
16,16,63,427.28876170644645,"(125, 0, 200)","(625, 0, 50)"
17,17,51,405.7826502056714,"(625, 0, 200)","(375, 0, 100)"
18,18,55,412.9513540392631,"(375, 0, 200)","(625, 0, 100)"
19,19,57,416.53570595605896,"(375, 0, 200)","(625, 0, 150)"
