Truck_id,Route_id,Path_length,Completion_Time_alone,Pick_station,Drop_station
0,0,63,427.28876170644645,"(125, 0, 200)","(625, 0, 100)"
1,1,67,434.45746554003813,"(125, 0, 200)","(625, 0, 50)"
2,2,45,395.0295944552839,"(375, 0, 150)","(375, 0, 200)"
3,3,35,377.1078348713047,"(625, 0, 100)","(625, 0, 200)"
4,4,33,373.5234829545089,"(375, 0, 50)","(375, 0, 200)"
5,5,55,412.9513540392631,"(125, 0, 200)","(125, 0, 150)"
6,6,35,377.1078348713047,"(375, 0, 150)","(375, 0, 200)"
7,7,39,384.2765387048964,"(375, 0, 200)","(375, 0, 0)"
8,8,49,402.1982982888756,"(625, 0, 200)","(125, 0, 0)"
9,9,57,416.53570595605896,"(125, 0, 100)","(375, 0, 200)"
10,10,35,377.1078348713047,"(375, 0, 100)","(625, 0, 200)"
11,11,55,412.9513540392631,"(125, 0, 200)","(125, 0, 150)"
12,12,43,391.44524253848806,"(125, 0, 50)","(625, 0, 200)"
13,13,61,423.70440978965064,"(125, 0, 0)","(625, 0, 200)"
14,14,45,395.0295944552839,"(125, 0, 100)","(625, 0, 200)"
15,15,71,441.6261693736298,"(125, 0, 200)","(625, 0, 150)"
16,16,55,412.9513540392631,"(125, 0, 200)","(625, 0, 0)"
17,17,53,409.3670021224673,"(375, 0, 200)","(375, 0, 100)"
18,18,47,398.61394637207974,"(625, 0, 200)","(375, 0, 50)"
19,19,61,423.70440978965064,"(375, 0, 0)","(125, 0, 200)"
