Truck_id,Route_id,Path_length,Completion_Time_alone,Pick_station,Drop_station
0,0,27,362.77042720412135,"(625, 0, 100)","(125, 0, 200)"
1,1,31,369.939131037713,"(625, 0, 200)","(625, 0, 50)"
2,2,37,380.69218678810057,"(125, 0, 200)","(375, 0, 0)"
3,3,19,348.433019536938,"(625, 0, 50)","(625, 0, 200)"
4,4,27,362.77042720412135,"(625, 0, 100)","(625, 0, 200)"
5,5,21,352.01737145373386,"(125, 0, 0)","(125, 0, 200)"
6,6,31,369.939131037713,"(375, 0, 200)","(125, 0, 150)"
7,7,49,402.1982982888756,"(625, 0, 200)","(125, 0, 150)"
8,8,19,348.433019536938,"(625, 0, 200)","(375, 0, 50)"
9,9,37,380.69218678810057,"(375, 0, 200)","(625, 0, 150)"
10,10,41,387.86089062169225,"(375, 0, 200)","(125, 0, 50)"
11,11,27,362.77042720412135,"(625, 0, 0)","(375, 0, 200)"
12,12,27,362.77042720412135,"(375, 0, 200)","(125, 0, 0)"
13,13,33,373.5234829545089,"(125, 0, 200)","(125, 0, 50)"
14,14,33,373.5234829545089,"(625, 0, 200)","(125, 0, 100)"
15,15,31,369.939131037713,"(375, 0, 200)","(375, 0, 100)"
16,16,33,373.5234829545089,"(625, 0, 200)","(375, 0, 0)"
17,17,15,341.2643157033463,"(375, 0, 150)","(125, 0, 200)"
18,18,37,380.69218678810057,"(625, 0, 0)","(125, 0, 200)"
19,19,41,387.86089062169225,"(125, 0, 200)","(375, 0, 150)"
