Truck_id,Route_id,Path_length,Completion_Time_alone,Pick_station,Drop_station
0,0,29,366.3547791209172,"(375, 0, 50)","(125, 0, 200)"
1,1,27,362.77042720412135,"(625, 0, 100)","(375, 0, 200)"
2,2,71,441.6261693736298,"(625, 0, 200)","(375, 0, 150)"
3,3,55,412.9513540392631,"(375, 0, 0)","(625, 0, 200)"
4,4,43,391.44524253848806,"(125, 0, 50)","(125, 0, 200)"
5,5,57,416.53570595605896,"(625, 0, 200)","(125, 0, 150)"
6,6,53,409.3670021224673,"(375, 0, 200)","(125, 0, 150)"
7,7,29,366.3547791209172,"(625, 0, 150)","(125, 0, 200)"
8,8,45,395.0295944552839,"(375, 0, 100)","(625, 0, 200)"
9,9,43,391.44524253848806,"(625, 0, 50)","(625, 0, 200)"
10,10,71,441.6261693736298,"(375, 0, 200)","(125, 0, 100)"
11,11,49,402.1982982888756,"(625, 0, 200)","(125, 0, 0)"
12,12,69,438.041817456834,"(125, 0, 200)","(375, 0, 50)"
13,13,55,412.9513540392631,"(125, 0, 200)","(625, 0, 0)"
14,14,67,434.45746554003813,"(375, 0, 200)","(625, 0, 50)"
15,15,59,420.1200578728548,"(375, 0, 200)","(625, 0, 0)"
16,16,27,362.77042720412135,"(625, 0, 100)","(375, 0, 200)"
17,17,69,438.041817456834,"(125, 0, 200)","(375, 0, 100)"
18,18,59,420.1200578728548,"(625, 0, 200)","(375, 0, 0)"
19,19,45,395.0295944552839,"(125, 0, 100)","(375, 0, 200)"
