Truck_id,Route_id,Path_length,Completion_Time_alone,Pick_station,Drop_station
0,0,61,423.70440978965064,"(625, 0, 200)","(375, 0, 150)"
1,1,55,412.9513540392631,"(125, 0, 200)","(625, 0, 0)"
2,2,95,484.6383923751799,"(625, 0, 50)","(625, 0, 200)"
3,3,55,412.9513540392631,"(125, 0, 100)","(125, 0, 200)"
4,4,29,366.3547791209172,"(625, 0, 50)","(375, 0, 200)"
5,5,61,423.70440978965064,"(375, 0, 200)","(375, 0, 100)"
6,6,71,441.6261693736298,"(125, 0, 200)","(625, 0, 0)"
7,7,53,409.3670021224673,"(375, 0, 200)","(125, 0, 50)"
8,8,81,459.54792895760903,"(125, 0, 200)","(625, 0, 150)"
9,9,29,366.3547791209172,"(375, 0, 150)","(125, 0, 200)"
10,10,49,402.1982982888756,"(625, 0, 200)","(125, 0, 150)"
11,11,53,409.3670021224673,"(375, 0, 200)","(125, 0, 150)"
12,12,45,395.0295944552839,"(125, 0, 100)","(125, 0, 200)"
13,13,43,391.44524253848806,"(375, 0, 50)","(625, 0, 200)"
14,14,65,430.8731136232423,"(625, 0, 200)","(125, 0, 0)"
15,15,81,459.54792895760903,"(125, 0, 200)","(625, 0, 150)"
16,16,63,427.28876170644645,"(375, 0, 200)","(375, 0, 50)"
17,17,45,395.0295944552839,"(375, 0, 100)","(625, 0, 200)"
18,18,55,412.9513540392631,"(375, 0, 0)","(375, 0, 200)"
19,19,69,438.041817456834,"(625, 0, 200)","(625, 0, 100)"
