Truck_id,Route_id,Path_length,Completion_Time_alone,Pick_station,Drop_station
0,0,27,362.77042720412135,"(625, 0, 100)","(375, 0, 200)"
1,1,53,409.3670021224673,"(625, 0, 200)","(375, 0, 50)"
2,2,45,395.0295944552839,"(625, 0, 200)","(125, 0, 150)"
3,3,55,412.9513540392631,"(125, 0, 200)","(125, 0, 150)"
4,4,57,416.53570595605896,"(625, 0, 100)","(125, 0, 200)"
5,5,39,384.2765387048964,"(125, 0, 200)","(125, 0, 0)"
6,6,75,448.7948732072215,"(375, 0, 100)","(625, 0, 200)"
7,7,63,427.28876170644645,"(625, 0, 200)","(625, 0, 50)"
8,8,33,373.5234829545089,"(625, 0, 50)","(625, 0, 200)"
9,9,47,398.61394637207974,"(625, 0, 200)","(125, 0, 50)"
10,10,63,427.28876170644645,"(375, 0, 200)","(625, 0, 0)"
11,11,35,377.1078348713047,"(375, 0, 150)","(375, 0, 200)"
12,12,57,416.53570595605896,"(125, 0, 200)","(375, 0, 150)"
13,13,51,405.7826502056714,"(375, 0, 200)","(375, 0, 0)"
14,14,35,377.1078348713047,"(375, 0, 100)","(375, 0, 200)"
15,15,33,373.5234829545089,"(125, 0, 50)","(375, 0, 200)"
16,16,49,402.1982982888756,"(625, 0, 0)","(375, 0, 200)"
17,17,45,395.0295944552839,"(625, 0, 200)","(125, 0, 100)"
18,18,69,438.041817456834,"(125, 0, 200)","(625, 0, 150)"
19,19,35,377.1078348713047,"(125, 0, 100)","(125, 0, 200)"
