Truck_id,Route_id,Path_length,Completion_Time_alone,Pick_station,Drop_station
0,0,51,405.7826502056714,"(375, 0, 200)","(625, 0, 0)"
1,1,53,409.3670021224673,"(375, 0, 0)","(125, 0, 200)"
2,2,35,377.1078348713047,"(125, 0, 100)","(375, 0, 200)"
3,3,67,434.45746554003813,"(125, 0, 200)","(625, 0, 100)"
4,4,33,373.5234829545089,"(125, 0, 50)","(375, 0, 200)"
5,5,69,438.041817456834,"(375, 0, 200)","(375, 0, 150)"
6,6,49,402.1982982888756,"(125, 0, 0)","(625, 0, 200)"
7,7,51,405.7826502056714,"(625, 0, 200)","(125, 0, 100)"
8,8,51,405.7826502056714,"(625, 0, 200)","(625, 0, 50)"
9,9,51,405.7826502056714,"(625, 0, 200)","(375, 0, 0)"
10,10,35,377.1078348713047,"(625, 0, 150)","(625, 0, 200)"
11,11,43,391.44524253848806,"(375, 0, 200)","(125, 0, 150)"
12,12,27,362.77042720412135,"(625, 0, 100)","(125, 0, 200)"
13,13,29,366.3547791209172,"(375, 0, 50)","(125, 0, 200)"
14,14,71,441.6261693736298,"(125, 0, 200)","(625, 0, 150)"
15,15,49,402.1982982888756,"(625, 0, 200)","(375, 0, 50)"
16,16,53,409.3670021224673,"(375, 0, 200)","(625, 0, 50)"
17,17,61,423.70440978965064,"(375, 0, 200)","(125, 0, 0)"
18,18,27,362.77042720412135,"(375, 0, 100)","(125, 0, 200)"
19,19,53,409.3670021224673,"(625, 0, 200)","(125, 0, 50)"
