Truck_id,Route_id,Path_length,Completion_Time_alone,Pick_station,Drop_station
0,0,27,362.77042720412135,"(375, 0, 100)","(625, 0, 200)"
1,1,27,362.77042720412135,"(125, 0, 100)","(375, 0, 200)"
2,2,39,384.2765387048964,"(125, 0, 50)","(625, 0, 200)"
3,3,29,366.3547791209172,"(625, 0, 50)","(125, 0, 200)"
4,4,43,391.44524253848806,"(125, 0, 200)","(625, 0, 0)"
5,5,15,341.2643157033463,"(375, 0, 200)","(125, 0, 150)"
6,6,29,366.3547791209172,"(375, 0, 50)","(625, 0, 200)"
7,7,35,377.1078348713047,"(375, 0, 200)","(375, 0, 100)"
8,8,33,373.5234829545089,"(375, 0, 200)","(375, 0, 50)"
9,9,35,377.1078348713047,"(125, 0, 200)","(125, 0, 0)"
10,10,27,362.77042720412135,"(625, 0, 100)","(125, 0, 200)"
11,11,15,341.2643157033463,"(125, 0, 200)","(125, 0, 150)"
12,12,25,359.18607528732554,"(375, 0, 150)","(625, 0, 200)"
13,13,15,341.2643157033463,"(625, 0, 150)","(625, 0, 200)"
14,14,27,362.77042720412135,"(625, 0, 200)","(125, 0, 100)"
15,15,33,373.5234829545089,"(125, 0, 200)","(125, 0, 0)"
16,16,21,352.01737145373386,"(625, 0, 200)","(375, 0, 0)"
17,17,39,384.2765387048964,"(375, 0, 200)","(625, 0, 150)"
18,18,29,366.3547791209172,"(125, 0, 50)","(125, 0, 200)"
19,19,33,373.5234829545089,"(375, 0, 200)","(375, 0, 0)"
