Truck_id,Route_id,Path_length,Completion_Time_alone,Pick_station,Drop_station
0,0,39,384.2765387048964,"(625, 0, 50)","(625, 0, 200)"
1,1,29,366.3547791209172,"(625, 0, 150)","(375, 0, 200)"
2,2,61,423.70440978965064,"(625, 0, 200)","(375, 0, 100)"
3,3,45,395.0295944552839,"(125, 0, 100)","(125, 0, 200)"
4,4,27,362.77042720412135,"(375, 0, 100)","(125, 0, 200)"
5,5,71,441.6261693736298,"(625, 0, 0)","(375, 0, 200)"
6,6,27,362.77042720412135,"(625, 0, 100)","(125, 0, 200)"
7,7,65,430.8731136232423,"(125, 0, 50)","(625, 0, 200)"
8,8,43,391.44524253848806,"(375, 0, 50)","(625, 0, 200)"
9,9,47,398.61394637207974,"(625, 0, 200)","(375, 0, 50)"
10,10,43,391.44524253848806,"(125, 0, 50)","(625, 0, 200)"
11,11,55,412.9513540392631,"(125, 0, 0)","(125, 0, 200)"
12,12,49,402.1982982888756,"(625, 0, 0)","(125, 0, 200)"
13,13,53,409.3670021224673,"(375, 0, 200)","(125, 0, 150)"
14,14,29,366.3547791209172,"(375, 0, 150)","(125, 0, 200)"
15,15,65,430.8731136232423,"(375, 0, 0)","(625, 0, 200)"
16,16,69,438.041817456834,"(375, 0, 200)","(625, 0, 100)"
17,17,61,423.70440978965064,"(375, 0, 200)","(125, 0, 100)"
18,18,73,445.2105212904257,"(125, 0, 200)","(625, 0, 150)"
19,19,55,412.9513540392631,"(375, 0, 200)","(375, 0, 0)"
