Truck_id,Route_id,Path_length,Completion_Time_alone,Pick_station,Drop_station
0,0,29,366.3547791209172,"(625, 0, 150)","(125, 0, 200)"
1,1,53,409.3670021224673,"(625, 0, 200)","(125, 0, 50)"
2,2,29,366.3547791209172,"(625, 0, 50)","(125, 0, 200)"
3,3,55,412.9513540392631,"(375, 0, 200)","(125, 0, 0)"
4,4,69,438.041817456834,"(125, 0, 200)","(625, 0, 100)"
5,5,71,441.6261693736298,"(625, 0, 0)","(125, 0, 200)"
6,6,57,416.53570595605896,"(125, 0, 0)","(375, 0, 200)"
7,7,71,441.6261693736298,"(375, 0, 200)","(625, 0, 150)"
8,8,55,412.9513540392631,"(375, 0, 0)","(375, 0, 200)"
9,9,27,362.77042720412135,"(375, 0, 100)","(125, 0, 200)"
10,10,45,395.0295944552839,"(125, 0, 100)","(125, 0, 200)"
11,11,43,391.44524253848806,"(375, 0, 50)","(625, 0, 200)"
12,12,53,409.3670021224673,"(625, 0, 200)","(125, 0, 50)"
13,13,55,412.9513540392631,"(375, 0, 200)","(625, 0, 0)"
14,14,69,438.041817456834,"(625, 0, 200)","(375, 0, 150)"
15,15,45,395.0295944552839,"(125, 0, 100)","(375, 0, 200)"
16,16,69,438.041817456834,"(125, 0, 200)","(625, 0, 50)"
17,17,53,409.3670021224673,"(375, 0, 200)","(125, 0, 150)"
18,18,55,412.9513540392631,"(625, 0, 200)","(375, 0, 0)"
19,19,67,434.45746554003813,"(625, 0, 200)","(375, 0, 100)"
