Truck_id,Route_id,Path_length,Completion_Time_alone,Pick_station,Drop_station
0,0,53,409.3670021224673,"(375, 0, 200)","(375, 0, 100)"
1,1,51,405.7826502056714,"(625, 0, 200)","(625, 0, 50)"
2,2,35,377.1078348713047,"(125, 0, 100)","(125, 0, 200)"
3,3,53,409.3670021224673,"(125, 0, 200)","(125, 0, 50)"
4,4,25,359.18607528732554,"(625, 0, 150)","(375, 0, 200)"
5,5,41,387.86089062169225,"(375, 0, 200)","(375, 0, 0)"
6,6,61,423.70440978965064,"(375, 0, 0)","(125, 0, 200)"
7,7,65,430.8731136232423,"(375, 0, 200)","(625, 0, 100)"
8,8,29,366.3547791209172,"(625, 0, 50)","(375, 0, 200)"
9,9,45,395.0295944552839,"(125, 0, 100)","(375, 0, 200)"
10,10,49,402.1982982888756,"(625, 0, 0)","(125, 0, 200)"
11,11,35,377.1078348713047,"(625, 0, 100)","(625, 0, 200)"
12,12,25,359.18607528732554,"(375, 0, 150)","(125, 0, 200)"
13,13,33,373.5234829545089,"(375, 0, 50)","(625, 0, 200)"
14,14,55,412.9513540392631,"(625, 0, 200)","(125, 0, 0)"
15,15,43,391.44524253848806,"(375, 0, 150)","(125, 0, 200)"
16,16,55,412.9513540392631,"(625, 0, 200)","(125, 0, 150)"
17,17,55,412.9513540392631,"(625, 0, 200)","(625, 0, 150)"
18,18,45,395.0295944552839,"(375, 0, 200)","(125, 0, 150)"
19,19,55,412.9513540392631,"(625, 0, 200)","(125, 0, 0)"
