Truck_id,Route_id,Path_length,Completion_Time_alone,Pick_station,Drop_station
0,0,67,434.45746554003813,"(375, 0, 200)","(625, 0, 150)"
1,1,51,405.7826502056714,"(375, 0, 200)","(375, 0, 50)"
2,2,45,395.0295944552839,"(625, 0, 200)","(375, 0, 150)"
3,3,51,405.7826502056714,"(125, 0, 0)","(125, 0, 200)"
4,4,47,398.61394637207974,"(625, 0, 200)","(125, 0, 50)"
5,5,35,377.1078348713047,"(125, 0, 100)","(125, 0, 200)"
6,6,35,377.1078348713047,"(375, 0, 100)","(625, 0, 200)"
7,7,53,409.3670021224673,"(125, 0, 200)","(125, 0, 150)"
8,8,33,373.5234829545089,"(375, 0, 50)","(375, 0, 200)"
9,9,55,412.9513540392631,"(625, 0, 0)","(375, 0, 200)"
10,10,33,373.5234829545089,"(625, 0, 50)","(625, 0, 200)"
11,11,25,359.18607528732554,"(625, 0, 150)","(375, 0, 200)"
12,12,27,362.77042720412135,"(625, 0, 100)","(125, 0, 200)"
13,13,63,427.28876170644645,"(125, 0, 200)","(625, 0, 50)"
14,14,53,409.3670021224673,"(125, 0, 200)","(375, 0, 0)"
15,15,55,412.9513540392631,"(375, 0, 100)","(375, 0, 200)"
16,16,49,402.1982982888756,"(375, 0, 200)","(125, 0, 50)"
17,17,67,434.45746554003813,"(125, 0, 100)","(625, 0, 200)"
18,18,53,409.3670021224673,"(125, 0, 200)","(125, 0, 150)"
19,19,61,423.70440978965064,"(125, 0, 0)","(625, 0, 200)"
