Truck_id,Route_id,Path_length,Completion_Time_alone,Pick_station,Drop_station
0,0,25,359.18607528732554,"(125, 0, 150)","(375, 0, 200)"
1,1,17,344.8486676201422,"(625, 0, 100)","(375, 0, 200)"
2,2,39,384.2765387048964,"(125, 0, 50)","(625, 0, 200)"
3,3,31,369.939131037713,"(125, 0, 0)","(625, 0, 200)"
4,4,37,380.69218678810057,"(125, 0, 100)","(625, 0, 200)"
5,5,21,352.01737145373386,"(375, 0, 200)","(625, 0, 0)"
6,6,17,344.8486676201422,"(375, 0, 100)","(125, 0, 200)"
7,7,33,373.5234829545089,"(625, 0, 200)","(375, 0, 0)"
8,8,19,348.433019536938,"(375, 0, 50)","(125, 0, 200)"
9,9,39,384.2765387048964,"(125, 0, 200)","(625, 0, 50)"
10,10,27,362.77042720412135,"(375, 0, 50)","(125, 0, 200)"
11,11,43,391.44524253848806,"(125, 0, 200)","(625, 0, 0)"
12,12,25,359.18607528732554,"(625, 0, 200)","(125, 0, 150)"
13,13,29,366.3547791209172,"(625, 0, 50)","(125, 0, 200)"
14,14,29,366.3547791209172,"(625, 0, 200)","(375, 0, 150)"
15,15,33,373.5234829545089,"(375, 0, 200)","(125, 0, 50)"
16,16,29,366.3547791209172,"(375, 0, 200)","(125, 0, 100)"
17,17,41,387.86089062169225,"(375, 0, 200)","(625, 0, 100)"
18,18,37,380.69218678810057,"(375, 0, 200)","(625, 0, 150)"
19,19,31,369.939131037713,"(125, 0, 0)","(625, 0, 200)"
