Truck_id,Route_id,Path_length,Completion_Time_alone,Pick_station,Drop_station
0,0,25,359.18607528732554,"(375, 0, 200)","(375, 0, 50)"
1,1,29,366.3547791209172,"(375, 0, 200)","(625, 0, 50)"
2,2,39,384.2765387048964,"(125, 0, 50)","(625, 0, 200)"
3,3,47,398.61394637207974,"(125, 0, 100)","(625, 0, 200)"
4,4,37,380.69218678810057,"(125, 0, 100)","(625, 0, 200)"
5,5,25,359.18607528732554,"(625, 0, 150)","(125, 0, 200)"
6,6,27,362.77042720412135,"(375, 0, 0)","(375, 0, 200)"
7,7,43,391.44524253848806,"(125, 0, 200)","(625, 0, 0)"
8,8,27,362.77042720412135,"(625, 0, 100)","(375, 0, 200)"
9,9,19,348.433019536938,"(375, 0, 50)","(125, 0, 200)"
10,10,29,366.3547791209172,"(625, 0, 50)","(125, 0, 200)"
11,11,27,362.77042720412135,"(625, 0, 0)","(375, 0, 200)"
12,12,15,341.2643157033463,"(375, 0, 150)","(375, 0, 200)"
13,13,17,344.8486676201422,"(625, 0, 200)","(375, 0, 100)"
14,14,27,362.77042720412135,"(625, 0, 100)","(125, 0, 200)"
15,15,35,377.1078348713047,"(125, 0, 150)","(625, 0, 200)"
16,16,25,359.18607528732554,"(625, 0, 150)","(125, 0, 200)"
17,17,31,369.939131037713,"(125, 0, 0)","(625, 0, 200)"
18,18,29,366.3547791209172,"(375, 0, 200)","(125, 0, 150)"
19,19,43,391.44524253848806,"(125, 0, 200)","(375, 0, 100)"
