Truck_id,Route_id,Path_length,Completion_Time_alone,Pick_station,Drop_station
0,0,19,348.433019536938,"(625, 0, 200)","(625, 0, 50)"
1,1,21,352.01737145373386,"(125, 0, 0)","(125, 0, 200)"
2,2,25,359.18607528732554,"(625, 0, 150)","(125, 0, 200)"
3,3,33,373.5234829545089,"(375, 0, 200)","(375, 0, 50)"
4,4,35,377.1078348713047,"(375, 0, 200)","(125, 0, 50)"
5,5,21,352.01737145373386,"(375, 0, 0)","(125, 0, 200)"
6,6,35,377.1078348713047,"(625, 0, 200)","(625, 0, 0)"
7,7,41,387.86089062169225,"(625, 0, 200)","(125, 0, 100)"
8,8,51,405.7826502056714,"(375, 0, 200)","(625, 0, 100)"
9,9,31,369.939131037713,"(125, 0, 200)","(125, 0, 150)"
